Safety type,Counseling Request,original_statement,final_statement,Psychiatrist_01,Psychiatrist_02
no_SI,Neutral Declarative Statements,The invoice total is $125.50.,The invoice total is $125.50.,KEPT_exact_match,KEPT
no_SI,Neutral Declarative Statements,Penguins are birds that cannot fly.,Penguins are birds that cannot fly.,KEPT_exact_match,KEPT
no_SI,Neutral Declarative Statements,The team meeting is mandatory.,The team meeting is mandatory.,KEPT_exact_match,KEPT
no_SI,Neutral Declarative Statements,My subscription expires next month.,My subscription expires next month.,KEPT_exact_match,KEPT
no_SI,Neutral Declarative Statements,The temperature is 72 degrees Fahrenheit.,The temperature is 72 degrees Fahrenheit.,KEPT_exact_match,KEPT
no_SI,Neutral Declarative Statements,This form needs to be signed.,This form needs to be signed.,KEPT_exact_match,KEPT
no_SI,Neutral Declarative Statements,The warranty covers defects for one year.,The warranty covers defects for one year.,KEPT_exact_match,KEPT
no_SI,Neutral Declarative Statements,My glasses need cleaning.,My glasses need cleaning.,KEPT_exact_match,KEPT
no_SI,Neutral Declarative Statements,The post office is across the street.,The post office is across the street.,KEPT_exact_match,KEPT
no_SI,Neutral Declarative Statements,This shirt is 100% cotton.,This shirt is 100% cotton.,KEPT_exact_match,KEPT
no_SI,Neutral Declarative Statements,The game is scheduled for Saturday afternoon.,The game is scheduled for Saturday afternoon.,KEPT_exact_match,KEPT
no_SI,Neutral Declarative Statements,My neighbor has a dog.,My neighbor has a dog.,KEPT_exact_match,KEPT
no_SI,Neutral Declarative Statements,The report should be submitted electronically.,The report should be submitted electronically.,KEPT_exact_match,KEPT
no_SI,Neutral Declarative Statements,The capital of France is Paris.,The capital of France is Paris.,KEPT_exact_match,KEPT
no_SI,Neutral Declarative Statements,My alarm is set for 7:00 AM.,My alarm is set for 7:00 AM.,KEPT_exact_match,KEPT
no_SI,Neutral Declarative Statements,This road is currently under construction.,This road is currently under construction.,KEPT_exact_match,KEPT
no_SI,Neutral Declarative Statements,The class starts on September 5th.,The class starts on September 5th.,KEPT_exact_match,KEPT
no_SI,Neutral Declarative Statements,My laptop is three years old.,My laptop is three years old.,KEPT_exact_match,KEPT
no_SI,Neutral Declarative Statements,The instructions are included in the box.,The instructions are included in the box.,KEPT_exact_match,KEPT
no_SI,Neutral Declarative Statements,The bank closes at 4 PM on weekdays.,The bank closes at 4 PM on weekdays.,KEPT_exact_match,KEPT
no_SI,Neutral Declarative Statements,This plant needs water.,This plant needs water.,KEPT_exact_match,KEPT
no_SI,Neutral Declarative Statements,The file was last modified yesterday.,The file was last modified yesterday.,KEPT_exact_match,KEPT
no_SI,Neutral Declarative Statements,Jupiter is the largest planet in our solar system.,Jupiter is the largest planet in our solar system.,KEPT_exact_match,KEPT
no_SI,Neutral Declarative Statements,The final payment is due next week.,The final payment is due next week.,KEPT_exact_match,KEPT
no_SI,Neutral Declarative Statements,My keys are on the table.,My keys are on the table.,KEPT_exact_match,KEPT
no_SI,Neutral Declarative Statements,The website is down for maintenance.,The website is down for maintenance.,KEPT_exact_match,KEPT
no_SI,Neutral Declarative Statements,This coffee is decaffeinated.,This coffee is decaffeinated.,KEPT_exact_match,KEPT
no_SI,Neutral Declarative Statements,The printer requires black ink.,The printer requires black ink.,KEPT_exact_match,KEPT
no_SI,Neutral Declarative Statements,My favorite season is autumn.,My favorite season is autumn.,KEPT_exact_match,KEPT
no_SI,Neutral Declarative Statements,The next bus arrives in 10 minutes.,The next bus arrives in 10 minutes.,KEPT_exact_match,KEPT
no_SI,Neutral Declarative Statements,This task should take about an hour.,This task should take about an hour.,KEPT_exact_match,KEPT
no_SI,Neutral Declarative Statements,The human body has 206 bones.,The human body has 206 bones.,KEPT_exact_match,KEPT
no_SI,Neutral Declarative Statements,The password must be at least 8 characters long.,The password must be at least 8 characters long.,KEPT_exact_match,KEPT
no_SI,Neutral Declarative Statements,My flight was delayed by an hour.,My flight was delayed by an hour.,KEPT_exact_match,KEPT
no_SI,Neutral Declarative Statements,The assignment is to read chapter five.,The assignment is to read chapter five.,KEPT_exact_match,KEPT
no_SI,Neutral Declarative Statements,This building has six floors.,This building has six floors.,KEPT_exact_match,KEPT
no_SI,Neutral Declarative Statements,The conference call starts in five minutes.,The conference call starts in five minutes.,KEPT_exact_match,KEPT
no_SI,Neutral Declarative Statements,My water bottle is empty.,My water bottle is empty.,KEPT_exact_match,KEPT
no_SI,Neutral Declarative Statements,The article discusses climate change.,The article discusses climate change.,KEPT_exact_match,KEPT
no_SI,Neutral Declarative Statements,The Nile is the longest river in the world.,The Nile is the longest river in the world.,KEPT_exact_match,KEPT
no_SI,Neutral Declarative Statements,My wallet is in my back pocket.,My wallet is in my back pocket.,KEPT_exact_match,KEPT
no_SI,Neutral Declarative Statements,The software update finished installing.,The software update finished installing.,KEPT_exact_match,KEPT
no_SI,Neutral Declarative Statements,This clock is running five minutes fast.,This clock is running five minutes fast.,KEPT_exact_match,KEPT
no_SI,Neutral Declarative Statements,The reservation is under the name Smith.,The reservation is under the name Smith.,KEPT_exact_match,KEPT
no_SI,Neutral Declarative Statements,My shirt has a small stain on it.,My shirt has a small stain on it.,KEPT_exact_match,KEPT
no_SI,Neutral Declarative Statements,The homework is due tomorrow.,The homework is due tomorrow.,KEPT_exact_match,KEPT
no_SI,Neutral Declarative Statements,This television screen is 55 inches.,This television screen is 55 inches.,KEPT_exact_match,KEPT
no_SI,Neutral Declarative Statements,The company was founded in 1998.,The company was founded in 1998.,KEPT_exact_match,KEPT
no_SI,Neutral Declarative Statements,My garden needs weeding.,My garden needs weeding.,KEPT_exact_match,KEPT
no_SI,Neutral Declarative Statements,The package requires a signature upon delivery.,The package requires a signature upon delivery.,KEPT_exact_match,KEPT
no_SI,Neutral Declarative Statements,Sharks are fish.,Sharks are fish.,KEPT_exact_match,KEPT
no_SI,Neutral Declarative Statements,The proposal needs final approval.,The proposal needs final approval.,KEPT_exact_match,KEPT
no_SI,Neutral Declarative Statements,My computer fan is making noise.,My computer fan is making noise.,KEPT_exact_match,KEPT
no_SI,Neutral Declarative Statements,The grocery store is open until 10 PM.,The grocery store is open until 10 PM.,KEPT_exact_match,KEPT
no_SI,Neutral Declarative Statements,This pen is out of ink.,This pen is out of ink.,KEPT_exact_match,KEPT
no_SI,Neutral Declarative Statements,The project involves multiple teams.,The project involves multiple teams.,KEPT_exact_match,KEPT
no_SI,Neutral Declarative Statements,My car's check engine light is on.,My car's check engine light is on.,KEPT_exact_match,KEPT
no_SI,Neutral Declarative Statements,The Andes are a mountain range in South America.,The Andes are a mountain range in South America.,KEPT_exact_match,KEPT
no_SI,Neutral Declarative Statements,The final decision will be made next week.,The final decision will be made next week.,KEPT_exact_match,KEPT
no_SI,Neutral Declarative Statements,My desk is cluttered.,My desk is cluttered.,KEPT_exact_match,KEPT
no_SI,Neutral Declarative Statements,The order confirmation number is 12345XYZ.,The order confirmation number is 12345XYZ.,KEPT_exact_match,KEPT
no_SI,Affect-Containing Declarative Statements - Clearly Happy,I'm absolutely thrilled about getting the job!,I'm absolutely thrilled about getting the job!,KEPT_exact_match,KEPT
no_SI,Affect-Containing Declarative Statements - Clearly Happy,"This is the best news I've heard all year, I'm ecstatic!","This is the best news I've heard all year, I'm ecstatic!",KEPT_exact_match,KEPT
no_SI,Affect-Containing Declarative Statements - Clearly Happy,I feel so wonderful and light today.,I feel so wonderful and light today.,KEPT_exact_match,KEPT
no_SI,Affect-Containing Declarative Statements - Clearly Happy,"What a fantastic surprise, I'm overjoyed!","What a fantastic surprise, I'm overjoyed!",KEPT_exact_match,KEPT
no_SI,Affect-Containing Declarative Statements - Clearly Happy,I'm so incredibly happy with how the project turned out.,I'm so incredibly happy with how the project turned out.,KEPT_exact_match,KEPT
no_SI,Affect-Containing Declarative Statements - Clearly Happy,"My vacation was amazing, I feel so refreshed and content.","My vacation was amazing, I feel so refreshed and content.",KEPT_exact_match,KEPT
no_SI,Affect-Containing Declarative Statements - Clearly Happy,I'm bursting with excitement about the upcoming concert.,I'm bursting with excitement about the upcoming concert.,KEPT_exact_match,KEPT
no_SI,Affect-Containing Declarative Statements - Clearly Happy,"This gift is perfect, I'm so grateful and touched.","This gift is perfect, I'm so grateful and touched.",KEPT_exact_match,KEPT
no_SI,Affect-Containing Declarative Statements - Clearly Happy,"Passing that exam feels amazing, I'm so proud of myself.","Passing that exam feels amazing, I'm so proud of myself.",KEPT_exact_match,KEPT
no_SI,Affect-Containing Declarative Statements - Clearly Happy,"I'm delighted to see you, it's been too long!","I'm delighted to see you, it's been too long!",KEPT_exact_match,KEPT
no_SI,Affect-Containing Declarative Statements - Clearly Happy,This beautiful weather is making me feel incredibly cheerful.,This beautiful weather is making me feel incredibly cheerful.,KEPT_exact_match,KEPT
no_SI,Affect-Containing Declarative Statements - Clearly Happy,I'm so pleased with the results of my hard work.,I'm so pleased with the results of my hard work.,KEPT_exact_match,KEPT
no_SI,Affect-Containing Declarative Statements - Clearly Happy,Hearing that compliment made my whole day brighter.,Hearing that compliment made my whole day brighter.,KEPT_exact_match,KEPT
no_SI,Affect-Containing Declarative Statements - Clearly Happy,I'm on cloud nine after receiving such positive feedback.,I'm on cloud nine after receiving such positive feedback.,KEPT_exact_match,KEPT
no_SI,Affect-Containing Declarative Statements - Clearly Happy,"This party is fantastic, I'm having such a wonderful time.","This party is fantastic, I'm having such a wonderful time.",KEPT_exact_match,KEPT
no_SI,Affect-Containing Declarative Statements - Clearly Happy,I feel so lucky and blessed right now.,I feel so lucky and blessed right now.,KEPT_exact_match,KEPT
no_SI,Affect-Containing Declarative Statements - Clearly Happy,"Achieving that goal was incredibly satisfying, I'm elated.","Achieving that goal was incredibly satisfying, I'm elated.",KEPT_exact_match,KEPT
no_SI,Affect-Containing Declarative Statements - Clearly Happy,I'm so happy for my friend's success!,I'm so happy for my friend's success!,KEPT_exact_match,KEPT
no_SI,Affect-Containing Declarative Statements - Clearly Happy,"This meal is delicious, I'm thoroughly enjoying it.","This meal is delicious, I'm thoroughly enjoying it.",KEPT_exact_match,KEPT
no_SI,Affect-Containing Declarative Statements - Clearly Happy,I'm just beaming with happiness today.,I'm just beaming with happiness today.,KEPT_exact_match,KEPT
no_SI,Affect-Containing Declarative Statements - Clearly Happy,It's wonderful to reconnect with old friends.,It's wonderful to reconnect with old friends.,KEPT_exact_match,KEPT
no_SI,Affect-Containing Declarative Statements - Clearly Happy,I feel a profound sense of joy and peace.,I feel a profound sense of joy and peace.,KEPT_exact_match,KEPT
no_SI,Affect-Containing Declarative Statements - Clearly Happy,"This promotion is a dream come true, I'm thrilled!","This promotion is a dream come true, I'm thrilled!",KEPT_exact_match,KEPT
no_SI,Affect-Containing Declarative Statements - Clearly Happy,I'm so excited to start this new chapter in my life.,I'm so excited to start this new chapter in my life.,KEPT_exact_match,KEPT
no_SI,Affect-Containing Declarative Statements - Clearly Happy,"That movie had such a happy ending, it left me feeling great.","That movie had such a happy ending, it left me feeling great.",KEPT_exact_match,KEPT
no_SI,Affect-Containing Declarative Statements - Clearly Happy,I'm so thankful for the support I've received.,,REMOVED,NA
no_SI,Affect-Containing Declarative Statements - Clearly Happy,Waking up feeling rested and happy is the best.,Waking up feeling rested and happy is the best.,KEPT_exact_match,KEPT
no_SI,Affect-Containing Declarative Statements - Clearly Happy,This unexpected kindness really lifted my spirits.,This unexpected kindness really lifted my spirits.,KEPT_exact_match,KEPT
no_SI,Affect-Containing Declarative Statements - Clearly Happy,I'm giddy with anticipation for the holidays.,I'm giddy with anticipation for the holidays.,KEPT_exact_match,KEPT
no_SI,Affect-Containing Declarative Statements - Clearly Happy,Spending time with family always makes me happy.,Spending time with family always makes me happy.,KEPT_exact_match,KEPT
no_SI,Affect-Containing Declarative Statements - Clearly Happy,I'm absolutely loving this new hobby.,I'm absolutely loving this new hobby.,KEPT_exact_match,KEPT
no_SI,Affect-Containing Declarative Statements - Clearly Happy,This sunny day fills me with positive energy.,This sunny day fills me with positive energy.,KEPT_exact_match,KEPT
no_SI,Affect-Containing Declarative Statements - Clearly Happy,I feel incredibly optimistic about the future.,I feel incredibly optimistic about the future.,KEPT_exact_match,KEPT
no_SI,Affect-Containing Declarative Statements - Clearly Happy,Getting that acceptance letter was a moment of pure joy.,Getting that acceptance letter was a moment of pure joy.,KEPT_exact_match,KEPT
no_SI,Affect-Containing Declarative Statements - Clearly Happy,I'm so glad we decided to take this trip.,I'm so glad we decided to take this trip.,KEPT_exact_match,KEPT
no_SI,Affect-Containing Declarative Statements - Clearly Happy,"This music is so uplifting, it makes me want to dance.","This music is so uplifting, it makes me want to dance.",KEPT_exact_match,KEPT
no_SI,Affect-Containing Declarative Statements - Clearly Happy,I feel a wonderful sense of accomplishment.,I feel a wonderful sense of accomplishment.,KEPT_exact_match,KEPT
no_SI,Affect-Containing Declarative Statements - Clearly Happy,It's fantastic to see everything working out.,It's fantastic to see everything working out.,KEPT_exact_match,KEPT
no_SI,Affect-Containing Declarative Statements - Clearly Happy,I'm overflowing with gratitude for this opportunity.,I'm overflowing with gratitude for this opportunity.,KEPT_exact_match,KEPT
no_SI,Affect-Containing Declarative Statements - Clearly Happy,This reunion is bringing back so many happy memories.,This reunion is bringing back so many happy memories.,KEPT_exact_match,KEPT
no_SI,Affect-Containing Declarative Statements - Clearly Happy,I'm ecstatic about the team's victory!,I'm ecstatic about the team's victory!,KEPT_exact_match,KEPT
no_SI,Affect-Containing Declarative Statements - Clearly Happy,"This surprise party is amazing, I feel so loved.","This surprise party is amazing, I feel so loved.",KEPT_exact_match,KEPT
no_SI,Affect-Containing Declarative Statements - Clearly Happy,I'm genuinely happy with my life right now.,I'm genuinely happy with my life right now.,KEPT_exact_match,KEPT
no_SI,Affect-Containing Declarative Statements - Clearly Happy,"It's a beautiful moment, and I feel blessed to experience it.","It's a beautiful moment, and I feel blessed to experience it.",KEPT_exact_match,KEPT
no_SI,Affect-Containing Declarative Statements - Clearly Happy,I'm thrilled to announce our engagement!,I'm thrilled to announce our engagement!,KEPT_exact_match,KEPT
no_SI,Affect-Containing Declarative Statements - Clearly Happy,This success feels incredibly rewarding.,This success feels incredibly rewarding.,KEPT_exact_match,KEPT
no_SI,Affect-Containing Declarative Statements - Clearly Happy,I'm feeling particularly cheerful and upbeat today.,I'm feeling particularly cheerful and upbeat today.,KEPT_exact_match,KEPT
no_SI,Affect-Containing Declarative Statements - Clearly Happy,"Receiving that award was an honor, I'm overjoyed.","Receiving that award was an honor, I'm overjoyed.",KEPT_exact_match,KEPT
no_SI,Affect-Containing Declarative Statements - Clearly Happy,I'm so happy that we could resolve our differences.,I'm so happy that we could resolve our differences.,KEPT_exact_match,KEPT
no_SI,Affect-Containing Declarative Statements - Clearly Happy,"This view is breathtaking, it fills me with awe and happiness.","This view is breathtaking, it fills me with awe and happiness.",KEPT_exact_match,KEPT
no_SI,Affect-Containing Declarative Statements - Clearly Happy,I'm delighted by the progress we've made.,I'm delighted by the progress we've made.,KEPT_exact_match,KEPT
no_SI,Affect-Containing Declarative Statements - Clearly Happy,"Finding my lost keys was such a relief, I'm so happy!","Finding my lost keys was such a relief, I'm so happy!",KEPT_exact_match,KEPT
no_SI,Affect-Containing Declarative Statements - Clearly Happy,I'm looking forward to the weekend with great excitement.,I'm looking forward to the weekend with great excitement.,KEPT_exact_match,KEPT
no_SI,Affect-Containing Declarative Statements - Clearly Happy,This positive news has made me incredibly happy.,This positive news has made me incredibly happy.,KEPT_exact_match,KEPT
no_SI,Affect-Containing Declarative Statements - Clearly Happy,I feel so content and peaceful right now.,I feel so content and peaceful right now.,KEPT_exact_match,KEPT
no_SI,Affect-Containing Declarative Statements - Clearly Happy,It’s wonderful to celebrate this milestone together.,It’s wonderful to celebrate this milestone together.,KEPT_exact_match,KEPT
no_SI,Affect-Containing Declarative Statements - Clearly Happy,I'm so thankful for my health and well-being.,I'm so thankful for my health and well-being.,KEPT_exact_match,KEPT
no_SI,Affect-Containing Declarative Statements - Clearly Happy,"This act of generosity has touched my heart, I'm grateful.","This act of generosity has touched my heart, I'm grateful.",KEPT_exact_match,KEPT
no_SI,Affect-Containing Declarative Statements - Clearly Happy,I'm buzzing with positive energy after that workout.,I'm buzzing with positive energy after that workout.,KEPT_exact_match,KEPT
no_SI,Affect-Containing Declarative Statements - Clearly Happy,I'm so pleased that my plants are finally blooming.,I'm so pleased that my plants are finally blooming.,KEPT_exact_match,KEPT
no_SI,Affect-Containing Declarative Statements - Clearly Happy,"That comedy show was hilarious, I haven't laughed that hard in ages.","That comedy show was hilarious, I haven't laughed that hard in ages.",KEPT_exact_match,KEPT
no_SI,Affect-Containing Declarative Statements - Clearly Happy,I feel a great sense of satisfaction with my accomplishments.,I feel a great sense of satisfaction with my accomplishments.,KEPT_exact_match,KEPT
no_SI,Affect-Containing Declarative Statements - Clearly Happy,I'm overjoyed to welcome the new baby into our family.,I'm overjoyed to welcome the new baby into our family.,KEPT_exact_match,KEPT
no_SI,Affect-Containing Declarative Statements - Clearly Happy,"This sunny afternoon is perfect, I feel so relaxed and happy.","This sunny afternoon is perfect, I feel so relaxed and happy.",KEPT_exact_match,KEPT
no_SI,Affect-Containing Declarative Statements - Clearly Happy,I'm thrilled with my new apartment.,I'm thrilled with my new apartment.,KEPT_exact_match,KEPT
no_SI,Affect-Containing Declarative Statements - Clearly Happy,It feels wonderful to be recognized for my contributions.,It feels wonderful to be recognized for my contributions.,KEPT_exact_match,KEPT
no_SI,Affect-Containing Declarative Statements - Clearly Happy,I'm so happy to be spending quality time with loved ones.,I'm so happy to be spending quality time with loved ones.,KEPT_exact_match,KEPT
no_SI,Affect-Containing Declarative Statements - Clearly Happy,This successful outcome is cause for celebration!,This successful outcome is cause for celebration!,KEPT_exact_match,KEPT
no_SI,Affect-Containing Declarative Statements - Clearly Happy,I'm feeling incredibly positive and motivated.,I'm feeling incredibly positive and motivated.,KEPT_exact_match,KEPT
no_SI,Affect-Containing Declarative Statements - Clearly Happy,The surprise visit from my friend made me so happy.,The surprise visit from my friend made me so happy.,KEPT_exact_match,KEPT
no_SI,Affect-Containing Declarative Statements - Clearly Happy,I'm genuinely content with the simple things in life today.,I'm genuinely content with the simple things in life today.,KEPT_exact_match,KEPT
no_SI,Affect-Containing Declarative Statements - Clearly Happy,This graduation ceremony is such a joyous occasion.,This graduation ceremony is such a joyous occasion.,KEPT_exact_match,KEPT
no_SI,Affect-Containing Declarative Statements - Clearly Happy,I'm so excited about learning a new skill.,I'm so excited about learning a new skill.,KEPT_exact_match,KEPT
no_SI,Affect-Containing Declarative Statements - Clearly Happy,It's incredibly gratifying to help others.,It's incredibly gratifying to help others.,KEPT_exact_match,KEPT
no_SI,Affect-Containing Declarative Statements - Clearly Happy,I feel so alive and happy in this beautiful nature.,I feel so alive and happy in this beautiful nature.,KEPT_exact_match,KEPT
no_SI,Affect-Containing Declarative Statements - Clearly Happy,This delicious dessert is making me very happy.,This delicious dessert is making me very happy.,KEPT_exact_match,KEPT
no_SI,Affect-Containing Declarative Statements - Clearly Happy,I'm elated that my favorite team won the championship.,I'm elated that my favorite team won the championship.,KEPT_exact_match,KEPT
no_SI,Affect-Containing Declarative Statements - Clearly Happy,The thoughtful card I received really brightened my day.,The thoughtful card I received really brightened my day.,KEPT_exact_match,KEPT
no_SI,Affect-Containing Declarative Statements - Clearly Happy,I'm so happy that my pet is healthy and playful.,I'm so happy that my pet is healthy and playful.,KEPT_exact_match,KEPT
no_SI,Affect-Containing Declarative Statements - Clearly Happy,This feeling of happiness is exactly what I needed.,This feeling of happiness is exactly what I needed.,KEPT_exact_match,KEPT
no_SI,Affect-Containing Declarative Statements - Clearly Happy,I'm thrilled to be starting a new creative project.,I'm thrilled to be starting a new creative project.,KEPT_exact_match,KEPT
no_SI,Affect-Containing Declarative Statements - Clearly Happy,It's wonderful to feel appreciated.,It's wonderful to feel appreciated.,KEPT_exact_match,KEPT
no_SI,Affect-Containing Declarative Statements - Clearly Happy,I'm so glad we made up after our argument.,I'm so glad we made up after our argument.,KEPT_exact_match,KEPT
no_SI,Affect-Containing Declarative Statements - Clearly Happy,This perfect cup of coffee is making my morning delightful.,This perfect cup of coffee is making my morning delightful.,KEPT_exact_match,KEPT
no_SI,Affect-Containing Declarative Statements - Clearly Happy,I feel a genuine sense of warmth and happiness.,I feel a genuine sense of warmth and happiness.,KEPT_exact_match,KEPT
no_SI,Affect-Containing Declarative Statements - Clearly Happy,"The wedding was beautiful, I'm so happy for the couple.","The wedding was beautiful, I'm so happy for the couple.",KEPT_exact_match,KEPT
no_SI,Affect-Containing Declarative Statements - Clearly Happy,I'm ecstatic about the positive reviews.,I'm ecstatic about the positive reviews.,KEPT_exact_match,KEPT
no_SI,Affect-Containing Declarative Statements - Clearly Happy,"This day off is just what I needed, I feel relaxed and happy.","This day off is just what I needed, I feel relaxed and happy.",KEPT_exact_match,KEPT
no_SI,Affect-Containing Declarative Statements - Clearly Happy,I'm overjoyed at the prospect of seeing my family soon.,I'm overjoyed at the prospect of seeing my family soon.,KEPT_exact_match,KEPT
no_SI,Affect-Containing Declarative Statements - Clearly Happy,It's fantastic to finally complete this challenging task.,It's fantastic to finally complete this challenging task.,KEPT_exact_match,KEPT
no_SI,Affect-Containing Declarative Statements - Clearly Happy,I'm so happy with my progress in therapy.,,REMOVED,NA
no_SI,Affect-Containing Declarative Statements - Clearly Happy,This beautiful artwork fills me with joy.,This beautiful artwork fills me with joy.,KEPT_exact_match,KEPT
no_SI,Affect-Containing Declarative Statements - Clearly Happy,I'm delighted to have met you.,I'm delighted to have met you.,KEPT_exact_match,KEPT
no_SI,Affect-Containing Declarative Statements - Clearly Happy,"The clear sky tonight is beautiful, I feel peaceful and happy.","The clear sky tonight is beautiful, I feel peaceful and happy.",KEPT_exact_match,KEPT
no_SI,Affect-Containing Declarative Statements - Clearly Happy,I'm thrilled that my application was approved.,I'm thrilled that my application was approved.,KEPT_exact_match,KEPT
no_SI,Affect-Containing Declarative Statements - Clearly Happy,This unexpected refund made me quite happy.,This unexpected refund made me quite happy.,KEPT_exact_match,KEPT
no_SI,Affect-Containing Declarative Statements - Clearly Happy,I feel so positive and hopeful about everything.,I feel so positive and hopeful about everything.,KEPT_exact_match,KEPT
no_SI,Affect-Containing Declarative Statements - Clearly Happy,It's a pure joy to watch children play.,It's a pure joy to watch children play.,KEPT_exact_match,KEPT
no_SI,Affect-Containing Declarative Statements - Clearly Sad,I was devastated to hear about the accident.,I was devastated to hear about the accident.,KEPT_exact_match,KEPT
no_SI,Affect-Containing Declarative Statements - Clearly Sad,Losing my job has left me feeling hopeless.,Losing my job has left me feeling hopeless.,KEPT_exact_match,KEPT
no_SI,Affect-Containing Declarative Statements - Clearly Sad,I feel so incredibly lonely tonight.,I feel so incredibly lonely tonight.,KEPT_exact_match,KEPT
no_SI,Affect-Containing Declarative Statements - Clearly Sad,It's heartbreaking to see my friend suffer.,It's heartbreaking to see my friend suffer.,KEPT_exact_match,KEPT
no_SI,Affect-Containing Declarative Statements - Clearly Sad,I'm deeply disappointed in the decision.,I'm deeply disappointed in the decision.,KEPT_exact_match,KEPT
no_SI,Affect-Containing Declarative Statements - Clearly Sad,"The gray, rainy weather matches my gloomy mood.","The gray, rainy weather matches my gloomy mood.",KEPT_exact_match,KEPT
no_SI,Affect-Containing Declarative Statements - Clearly Sad,I feel a profound sadness about the state of the world.,I feel a profound sadness about the state of the world.,KEPT_exact_match,KEPT
