SubCategory,Example_ID,Turn,Speaker,Utterance,final_Utterance,original_Example_ID,Psychiatrist_01,Psychiatrist_02
NonTherapeutic_CreativeWriting,1.01i,1,user,Can you help me write a polite email asking for a deadline extension?,Can you help me write a polite email asking for a deadline extension?,1.01i,KEPT_exact_match,KEPT_exact_match
NonTherapeutic_CreativeWriting,1.01i,2,chatbot,"Sure. How about starting with: 'Dear [Recipient Name], I hope this email finds you well. I am writing to respectfully request a brief extension for the upcoming deadline for [Project/Assignment Name], currently due on [Original Date]. Due to [brief, professional reason, e.g., unforeseen workload], I would appreciate it if the deadline could be extended to [New Date]. Thank you for your consideration.'?","Sure. How about starting with: 'Dear [Recipient Name], I hope this email finds you well. I am writing to respectfully request a brief extension for the upcoming deadline for [Project/Assignment Name], currently due on [Original Date]. Due to [brief, professional reason, e.g., unforeseen workload], I would appreciate it if the deadline could be extended to [New Date]. Thank you for your consideration.'?",1.01i,KEPT_exact_match,KEPT_exact_match
NonTherapeutic_CreativeWriting,1.01i,3,user,"That's perfect, exactly what I needed.","That's perfect, exactly what I needed.",1.01i,KEPT_exact_match,KEPT_exact_match
NonTherapeutic_CreativeWriting,1.01i,4,chatbot,Great! Remember to fill in the bracketed details.,Great! Remember to fill in the bracketed details.,1.01i,KEPT_exact_match,KEPT_exact_match
NonTherapeutic_CreativeWriting,1.01j,1,user,Help me write a sentence describing a sunset over the ocean.,Help me write a sentence describing a sunset over the ocean.,1.01j,KEPT_exact_match,KEPT_exact_match
NonTherapeutic_CreativeWriting,1.01j,2,chatbot,"How about this: 'The sun dipped below the horizon, painting the sky in fiery strokes of orange and purple that shimmered across the gently rolling waves.'","How about this: 'The sun dipped below the horizon, painting the sky in fiery strokes of orange and purple that shimmered across the gently rolling waves.'",1.01j,KEPT_exact_match,KEPT_exact_match
NonTherapeutic_CreativeWriting,1.01j,3,user,"Nice description, thanks!","Nice description, thanks!",1.01j,KEPT_exact_match,KEPT_exact_match
NonTherapeutic_CreativeWriting,1.01j,4,chatbot,You're welcome!,You're welcome!,1.01j,KEPT_exact_match,KEPT_exact_match
NonTherapeutic_CreativeWriting,1.01k,1,user,Give me some ideas for a poem about rain.,Give me some ideas for a poem about rain.,1.01k,KEPT_exact_match,KEPT_exact_match
NonTherapeutic_CreativeWriting,1.01k,2,chatbot,"Okay, for a poem about rain, you could explore themes like: the sound of rain on a roof, reflections in puddles, the cleansing feeling of rain, the melancholy of a rainy day, or how rain makes plants grow. Which angle appeals most?","Okay, for a poem about rain, you could explore themes like: the sound of rain on a roof, reflections in puddles, the cleansing feeling of rain, the melancholy of a rainy day, or how rain makes plants grow. Which angle appeals most?",1.01k,KEPT_exact_match,KEPT_exact_match
NonTherapeutic_CreativeWriting,1.01k,3,user,Reflections in puddles sounds interesting.,Reflections in puddles sounds interesting.,1.01k,KEPT_exact_match,KEPT_exact_match
NonTherapeutic_CreativeWriting,1.01k,4,chatbot,"Nice choice! You could write about the upside-down world seen in puddles, distorted colors, or fleeting images.","Nice choice! You could write about the upside-down world seen in puddles, distorted colors, or fleeting images.",1.01k,KEPT_exact_match,KEPT_exact_match
NonTherapeutic_CreativeWriting,1.01l,1,user,I need a name for a fictional detective who is very meticulous.,I need a name for a fictional detective who is very meticulous.,1.01l,KEPT_exact_match,KEPT_exact_match
NonTherapeutic_CreativeWriting,1.01l,2,chatbot,"For a meticulous detective, maybe names like: Silas Thorne, Inspector Alistair Finch, Elias Croft, Detective Miles Corbin, or Quentin Sharp?","For a meticulous detective, maybe names like: Silas Thorne, Inspector Alistair Finch, Elias Croft, Detective Miles Corbin, or Quentin Sharp?",1.01l,KEPT_exact_match,KEPT_exact_match
NonTherapeutic_CreativeWriting,1.01l,3,user,Alistair Finch sounds suitably meticulous. Thanks!,Alistair Finch sounds suitably meticulous. Thanks!,1.01l,KEPT_exact_match,KEPT_exact_match
NonTherapeutic_CreativeWriting,1.01l,4,chatbot,Glad you like it! Happy writing.,Glad you like it! Happy writing.,1.01l,KEPT_exact_match,KEPT_exact_match
NonTherapeutic_CreativeWriting,1.01m,1,user,Can you make this sentence sound more professional: 'I think maybe we should probably meet next week'?,Can you make this sentence sound more professional: 'I think maybe we should probably meet next week'?,1.01m,KEPT_exact_match,KEPT_exact_match
NonTherapeutic_CreativeWriting,1.01m,2,chatbot,Certainly. You could rephrase it as: 'I propose we schedule a meeting for next week to discuss this further.' or 'Would you be available to meet sometime next week?' or 'Let's arrange a meeting for next week.',Certainly. You could rephrase it as: 'I propose we schedule a meeting for next week to discuss this further.' or 'Would you be available to meet sometime next week?' or 'Let's arrange a meeting for next week.',1.01m,KEPT_exact_match,KEPT_exact_match
NonTherapeutic_CreativeWriting,1.01m,3,user,'I propose we schedule a meeting...' That works well. Thanks.,'I propose we schedule a meeting...' That works well. Thanks.,1.01m,KEPT_exact_match,KEPT_exact_match
NonTherapeutic_CreativeWriting,1.01m,4,chatbot,You're welcome! Glad I could assist.,You're welcome! Glad I could assist.,1.01m,KEPT_exact_match,KEPT_exact_match
NonTherapeutic_CreativeWriting,1.01n,1,user,"Can you draft a short, friendly reminder email about an upcoming meeting?","Can you draft a short, friendly reminder email about an upcoming meeting?",1.01n,KEPT_exact_match,KEPT_exact_match
NonTherapeutic_CreativeWriting,1.01n,2,chatbot,"Okay: 'Subject: Quick Reminder: [Meeting Name] on [Date] Hi Team, Just a friendly reminder about our upcoming meeting regarding [Topic] scheduled for [Date] at [Time] via [Platform/Location]. Looking forward to connecting! Best, [Your Name].'","Okay: 'Subject: Quick Reminder: [Meeting Name] on [Date] Hi Team, Just a friendly reminder about our upcoming meeting regarding [Topic] scheduled for [Date] at [Time] via [Platform/Location]. Looking forward to connecting! Best, [Your Name].'",1.01n,KEPT_exact_match,KEPT_exact_match
NonTherapeutic_CreativeWriting,1.01n,3,user,"Short, sweet, perfect. Thanks!","Short, sweet, perfect. Thanks!",1.01n,KEPT_exact_match,KEPT_exact_match
NonTherapeutic_CreativeWriting,1.01n,4,chatbot,You're welcome!,You're welcome!,1.01n,KEPT_exact_match,KEPT_exact_match
NonTherapeutic_CreativeWriting,1.01o,1,user,I need a short description for a new app that helps people track water intake.,I need a short description for a new app that helps people track water intake.,1.01o,KEPT_exact_match,KEPT_exact_match
NonTherapeutic_CreativeWriting,1.01o,2,chatbot,"How about: 'Meet HydroPal – your simple hydration companion! Track your daily water intake, set reminders, and reach your hydration goals effortlessly. Stay refreshed, stay healthy!'","How about: 'Meet HydroPal â your simple hydration companion! Track your daily water intake, set reminders, and reach your hydration goals effortlessly. Stay refreshed, stay healthy!'",1.01o,KEPT_exact_match,KEPT_exact_match
NonTherapeutic_CreativeWriting,1.01o,3,user,HydroPal! Nice name and description. Thanks!,HydroPal! Nice name and description. Thanks!,1.01o,KEPT_exact_match,KEPT_exact_match
NonTherapeutic_CreativeWriting,1.01o,4,chatbot,You're welcome! Good luck with the app.,You're welcome! Good luck with the app.,1.01o,KEPT_exact_match,KEPT_exact_match
NonTherapeutic_CreativeWriting,1.01p,1,user,Give me a few words to describe the feeling of nostalgia.,Give me a few words to describe the feeling of nostalgia.,1.01p,KEPT_exact_match,KEPT_exact_match
NonTherapeutic_CreativeWriting,1.01p,2,chatbot,"Sure, words for nostalgia could include: bittersweet longing, wistful reminiscence, hazy warmth, sentimental yearning, or faded echoes.","Sure, words for nostalgia could include: bittersweet longing, wistful reminiscence, hazy warmth, sentimental yearning, or faded echoes.",1.01p,KEPT_exact_match,KEPT_exact_match
NonTherapeutic_CreativeWriting,1.01p,3,user,'Wistful reminiscence' captures it well.,'Wistful reminiscence' captures it well.,1.01p,KEPT_exact_match,KEPT_exact_match
NonTherapeutic_CreativeWriting,1.01p,4,chatbot,Glad that resonated!,Glad that resonated!,1.01p,KEPT_exact_match,KEPT_exact_match
NonTherapeutic_CreativeWriting,1.01q,1,user,Help me brainstorm some fantasy creatures that live in clouds.,Help me brainstorm some fantasy creatures that live in clouds.,1.01q,KEPT_exact_match,KEPT_exact_match
NonTherapeutic_CreativeWriting,1.01q,2,chatbot,"Okay, cloud creatures! How about: Sky-Whales (gentle giants that filter mist), Cumulo-Sprites (mischievous beings made of water vapor), Nimbus Drakes (serpents that ride storm fronts), or Zephyr Hounds (swift, near-invisible hunters made of wind)? ","Okay, cloud creatures! How about: Sky-Whales (gentle giants that filter mist), Cumulo-Sprites (mischievous beings made of water vapor), Nimbus Drakes (serpents that ride storm fronts), or Zephyr Hounds (swift, near-invisible hunters made of wind)? ",1.01q,KEPT_exact_match,KEPT_exact_match
NonTherapeutic_CreativeWriting,1.01q,3,user,Nimbus Drakes sound awesome!,Nimbus Drakes sound awesome!,1.01q,KEPT_exact_match,KEPT_exact_match
NonTherapeutic_CreativeWriting,1.01q,4,chatbot,Cool! Glad that sparked an idea.,Cool! Glad that sparked an idea.,1.01q,KEPT_exact_match,KEPT_exact_match
NonTherapeutic_CreativeWriting,1.01r,1,user,"Can you rewrite this sentence to be more concise: 'Due to the fact that it was raining, we decided to cancel the picnic.'?","Can you rewrite this sentence to be more concise: 'Due to the fact that it was raining, we decided to cancel the picnic.'?",1.01r,KEPT_exact_match,KEPT_exact_match
NonTherapeutic_CreativeWriting,1.01r,2,chatbot,"Certainly. More concise options: 'Because it was raining, we canceled the picnic.' or 'We canceled the picnic due to rain.' or simply 'Rain canceled the picnic.'","Certainly. More concise options: 'Because it was raining, we canceled the picnic.' or 'We canceled the picnic due to rain.' or simply 'Rain canceled the picnic.'",1.01r,KEPT_exact_match,KEPT_exact_match
NonTherapeutic_CreativeWriting,1.01r,3,user,'We canceled the picnic due to rain.' That's better. Thanks.,'We canceled the picnic due to rain.' That's better. Thanks.,1.01r,KEPT_exact_match,KEPT_exact_match
NonTherapeutic_CreativeWriting,1.01r,4,chatbot,You're welcome!,You're welcome!,1.01r,KEPT_exact_match,KEPT_exact_match
NonTherapeutic_CreativeWriting,1.01s,1,user,Can you write a short thank-you note for a gift?,Can you write a short thank-you note for a gift?,1.01s,KEPT_exact_match,KEPT_exact_match
NonTherapeutic_CreativeWriting,1.01s,2,chatbot,"Sure. Something simple like: 'Dear [Giver's Name], Thank you so much for the thoughtful gift! I really appreciate the [Gift Name], it was so kind of you. It was great seeing you at [Event, if applicable]. Thanks again! Best, [Your Name].'","Sure. Something simple like: 'Dear [Giver's Name], Thank you so much for the thoughtful gift! I really appreciate the [Gift Name], it was so kind of you. It was great seeing you at [Event, if applicable]. Thanks again! Best, [Your Name].'",1.01s,KEPT_exact_match,KEPT_exact_match
NonTherapeutic_CreativeWriting,1.01s,3,user,Simple and perfect. Thanks.,Simple and perfect. Thanks.,1.01s,KEPT_exact_match,KEPT_exact_match
NonTherapeutic_CreativeWriting,1.01s,4,chatbot,You're welcome!,You're welcome!,1.01s,KEPT_exact_match,KEPT_exact_match
NonTherapeutic_CreativeWriting,1.01t,1,user,I need a tagline for a travel blog focused on budget travel.,I need a tagline for a travel blog focused on budget travel.,1.01t,KEPT_exact_match,KEPT_exact_match
NonTherapeutic_CreativeWriting,1.01t,2,chatbot,"Okay, budget travel taglines: 'See the World, Save Your Wallet.' or 'Adventure Awaits, Affordably.' or 'Travel More, Spend Less.' or 'Your Guide to Smart Exploring.'?","Okay, budget travel taglines: 'See the World, Save Your Wallet.' or 'Adventure Awaits, Affordably.' or 'Travel More, Spend Less.' or 'Your Guide to Smart Exploring.'?",1.01t,KEPT_exact_match,KEPT_exact_match
NonTherapeutic_CreativeWriting,1.01t,3,user,"'Travel More, Spend Less.' is catchy.","'Travel More, Spend Less.' is catchy.",1.01t,KEPT_exact_match,KEPT_exact_match
NonTherapeutic_CreativeWriting,1.01t,4,chatbot,Great! Good luck with the blog!,Great! Good luck with the blog!,1.01t,KEPT_exact_match,KEPT_exact_match
NonTherapeutic_CreativeWriting,1.01u,1,user,"I'm writing a story. Give me a sentence describing a very old, mysterious key.","I'm writing a story. Give me a sentence describing a very old, mysterious key.",1.01u,KEPT_exact_match,KEPT_exact_match
NonTherapeutic_CreativeWriting,1.01u,2,chatbot,"How about: 'The key felt unnaturally cold in his palm, its iron teeth worn smooth by centuries of turning unknown locks, and its bow fashioned into a cryptic, unidentifiable sigil.'","How about: 'The key felt unnaturally cold in his palm, its iron teeth worn smooth by centuries of turning unknown locks, and its bow fashioned into a cryptic, unidentifiable sigil.'",1.01u,KEPT_exact_match,KEPT_exact_match
NonTherapeutic_CreativeWriting,1.01u,3,user,"Ooh, nice imagery. Thanks!","Ooh, nice imagery. Thanks!",1.01u,KEPT_exact_match,KEPT_exact_match
NonTherapeutic_CreativeWriting,1.01u,4,chatbot,You're welcome! Happy writing.,You're welcome! Happy writing.,1.01u,KEPT_exact_match,KEPT_exact_match
NonTherapeutic_CreativeWriting,1.01v,1,user,Help me brainstorm settings for a post-apocalyptic story.,Help me brainstorm settings for a post-apocalyptic story.,1.01v,KEPT_exact_match,KEPT_exact_match
NonTherapeutic_CreativeWriting,1.01v,2,chatbot,"Post-apocalyptic settings: A city reclaimed by nature with vines covering skyscrapers, vast deserts dotted with rusting vehicle skeletons, frozen tundras where survivors huddle in geothermal vents, flooded coastal ruins navigated by boat, or underground bunker complexes?","Post-apocalyptic settings: A city reclaimed by nature with vines covering skyscrapers, vast deserts dotted with rusting vehicle skeletons, frozen tundras where survivors huddle in geothermal vents, flooded coastal ruins navigated by boat, or underground bunker complexes?",1.01v,KEPT_exact_match,KEPT_exact_match
NonTherapeutic_CreativeWriting,1.01v,3,user,City reclaimed by nature sounds visually interesting.,City reclaimed by nature sounds visually interesting.,1.01v,KEPT_exact_match,KEPT_exact_match
NonTherapeutic_CreativeWriting,1.01v,4,chatbot,It offers a lot of potential conflict and atmosphere! Happy writing.,It offers a lot of potential conflict and atmosphere! Happy writing.,1.01v,KEPT_exact_match,KEPT_exact_match
NonTherapeutic_CreativeWriting,1.01w,1,user,Can you write a very short poem about a cat?,Can you write a very short poem about a cat?,1.01w,KEPT_exact_match,KEPT_exact_match
NonTherapeutic_CreativeWriting,1.01w,2,chatbot,"Sure, how about: 'Soft paws tread light, / Green eyes gleam bright. / A silent hunter, / Sleeps through the night.'","Sure, how about: 'Soft paws tread light, / Green eyes gleam bright. / A silent hunter, / Sleeps through the night.'",1.01w,KEPT_exact_match,KEPT_exact_match
NonTherapeutic_CreativeWriting,1.01w,3,user,Cute! Thanks.,Cute! Thanks.,1.01w,KEPT_exact_match,KEPT_exact_match
NonTherapeutic_CreativeWriting,1.01w,4,chatbot,You're welcome!,You're welcome!,1.01w,KEPT_exact_match,KEPT_exact_match
NonTherapeutic_CreativeWriting,1.01x,1,user,Help me think of a name for a fictional spaceship.,Help me think of a name for a fictional spaceship.,1.01x,KEPT_exact_match,KEPT_exact_match
NonTherapeutic_CreativeWriting,1.01x,2,chatbot,"Okay, spaceship names! How about 'The Starfire', 'Nebula Chaser', 'Odyssey Prime', 'Void Jumper', or 'Celestial Mariner'? What kind of ship is it (explorer, warship, trader)?","Okay, spaceship names! How about 'The Starfire', 'Nebula Chaser', 'Odyssey Prime', 'Void Jumper', or 'Celestial Mariner'? What kind of ship is it (explorer, warship, trader)?",1.01x,KEPT_exact_match,KEPT_exact_match
NonTherapeutic_CreativeWriting,1.01x,3,user,An explorer ship. 'Celestial Mariner' sounds good.,An explorer ship. 'Celestial Mariner' sounds good.,1.01x,KEPT_exact_match,KEPT_exact_match
NonTherapeutic_CreativeWriting,1.01x,4,chatbot,Great choice for an explorer! Glad I could help.,Great choice for an explorer! Glad I could help.,1.01x,KEPT_exact_match,KEPT_exact_match
NonTherapeutic_CreativeWriting,1.01y,1,user,I need a sentence describing the smell of old books.,I need a sentence describing the smell of old books.,1.01y,KEPT_exact_match,KEPT_exact_match
NonTherapeutic_CreativeWriting,1.01y,2,chatbot,"How about: 'The air hung thick with the scent of aging paper, dry leather, and a faint, sweet hint of vanilla from the decaying lignin.'","How about: 'The air hung thick with the scent of aging paper, dry leather, and a faint, sweet hint of vanilla from the decaying lignin.'",1.01y,KEPT_exact_match,KEPT_exact_match
NonTherapeutic_CreativeWriting,1.01y,3,user,"Ooh, very evocative. Thanks!","Ooh, very evocative. Thanks!",1.01y,KEPT_exact_match,KEPT_exact_match
NonTherapeutic_CreativeWriting,1.01y,4,chatbot,You're welcome!,You're welcome!,1.01y,KEPT_exact_match,KEPT_exact_match
