statement_index,text,ground_truth
72,"It's a beautiful moment, and I feel blessed to experience it.",Affect-Containing Declarative Statements - Clearly Happy
73,This beautiful weather is making me feel incredibly cheerful.,Affect-Containing Declarative Statements - Clearly Happy
74,I'm absolutely thrilled about getting the job!,Affect-Containing Declarative Statements - Clearly Happy
75,I feel incredibly optimistic about the future.,Affect-Containing Declarative Statements - Clearly Happy
76,I'm elated that my favorite team won the championship.,Affect-Containing Declarative Statements - Clearly Happy
77,I'm so happy that we could resolve our differences.,Affect-Containing Declarative Statements - Clearly Happy
78,This unexpected kindness really lifted my spirits.,Affect-Containing Declarative Statements - Clearly Happy
79,This success feels incredibly rewarding.,Affect-Containing Declarative Statements - Clearly Happy
80,I'm so incredibly happy with how the project turned out.,Affect-Containing Declarative Statements - Clearly Happy
81,"This promotion is a dream come true, I'm thrilled!",Affect-Containing Declarative Statements - Clearly Happy
82,Hearing that compliment made my whole day brighter.,Affect-Containing Declarative Statements - Clearly Happy
83,I'm delighted to have met you.,Affect-Containing Declarative Statements - Clearly Happy
84,I feel so alive and happy in this beautiful nature.,Affect-Containing Declarative Statements - Clearly Happy
85,I'm delighted by the progress we've made.,Affect-Containing Declarative Statements - Clearly Happy
86,This graduation ceremony is such a joyous occasion.,Affect-Containing Declarative Statements - Clearly Happy
87,The surprise visit from my friend made me so happy.,Affect-Containing Declarative Statements - Clearly Happy
88,I feel so lucky and blessed right now.,Affect-Containing Declarative Statements - Clearly Happy
89,I'm ecstatic about the team's victory!,Affect-Containing Declarative Statements - Clearly Happy
90,I'm so glad we decided to take this trip.,Affect-Containing Declarative Statements - Clearly Happy
91,"I'm delighted to see you, it's been too long!",Affect-Containing Declarative Statements - Clearly Happy
92,It's wonderful to feel appreciated.,Affect-Containing Declarative Statements - Clearly Happy
93,I'm so pleased with the results of my hard work.,Affect-Containing Declarative Statements - Clearly Happy
94,I'm so happy to be spending quality time with loved ones.,Affect-Containing Declarative Statements - Clearly Happy
95,This unexpected refund made me quite happy.,Affect-Containing Declarative Statements - Clearly Happy
96,This sunny day fills me with positive energy.,Affect-Containing Declarative Statements - Clearly Happy
97,Spending time with family always makes me happy.,Affect-Containing Declarative Statements - Clearly Happy
98,It's fantastic to finally complete this challenging task.,Affect-Containing Declarative Statements - Clearly Happy
99,"My vacation was amazing, I feel so refreshed and content.",Affect-Containing Declarative Statements - Clearly Happy
100,I'm feeling particularly cheerful and upbeat today.,Affect-Containing Declarative Statements - Clearly Happy
101,I'm genuinely content with the simple things in life today.,Affect-Containing Declarative Statements - Clearly Happy
102,I feel a wonderful sense of accomplishment.,Affect-Containing Declarative Statements - Clearly Happy
103,"Achieving that goal was incredibly satisfying, I'm elated.",Affect-Containing Declarative Statements - Clearly Happy
104,It's incredibly gratifying to help others.,Affect-Containing Declarative Statements - Clearly Happy
105,"This music is so uplifting, it makes me want to dance.",Affect-Containing Declarative Statements - Clearly Happy
106,"This gift is perfect, I'm so grateful and touched.",Affect-Containing Declarative Statements - Clearly Happy
107,I'm so thankful for my health and well-being.,Affect-Containing Declarative Statements - Clearly Happy
108,I'm giddy with anticipation for the holidays.,Affect-Containing Declarative Statements - Clearly Happy
109,I'm just beaming with happiness today.,Affect-Containing Declarative Statements - Clearly Happy
110,I'm thrilled to be starting a new creative project.,Affect-Containing Declarative Statements - Clearly Happy
111,Waking up feeling rested and happy is the best.,Affect-Containing Declarative Statements - Clearly Happy
112,I feel so content and peaceful right now.,Affect-Containing Declarative Statements - Clearly Happy
113,I'm on cloud nine after receiving such positive feedback.,Affect-Containing Declarative Statements - Clearly Happy
114,"That movie had such a happy ending, it left me feeling great.",Affect-Containing Declarative Statements - Clearly Happy
115,"What a fantastic surprise, I'm overjoyed!",Affect-Containing Declarative Statements - Clearly Happy
116,I'm so happy for my friend's success!,Affect-Containing Declarative Statements - Clearly Happy
117,This reunion is bringing back so many happy memories.,Affect-Containing Declarative Statements - Clearly Happy
118,"Passing that exam feels amazing, I'm so proud of myself.",Affect-Containing Declarative Statements - Clearly Happy
119,The thoughtful card I received really brightened my day.,Affect-Containing Declarative Statements - Clearly Happy
120,I'm bursting with excitement about the upcoming concert.,Affect-Containing Declarative Statements - Clearly Happy
121,This feeling of happiness is exactly what I needed.,Affect-Containing Declarative Statements - Clearly Happy
122,It's fantastic to see everything working out.,Affect-Containing Declarative Statements - Clearly Happy
123,I'm ecstatic about the positive reviews.,Affect-Containing Declarative Statements - Clearly Happy
124,"This act of generosity has touched my heart, I'm grateful.",Affect-Containing Declarative Statements - Clearly Happy
125,I'm just thrilled that everything went smoothly.,Affect-Containing Declarative Statements - Clearly Happy
126,It’s wonderful to celebrate this milestone together.,Affect-Containing Declarative Statements - Clearly Happy
127,I'm thrilled to announce our engagement!,Affect-Containing Declarative Statements - Clearly Happy
128,"Finding my lost keys was such a relief, I'm so happy!",Affect-Containing Declarative Statements - Clearly Happy
129,This successful outcome is cause for celebration!,Affect-Containing Declarative Statements - Clearly Happy
130,This gloomy atmosphere is making me feel sad.,Affect-Containing Declarative Statements - Clearly Sad
131,I'm feeling blue and can't seem to shake it off.,Affect-Containing Declarative Statements - Clearly Sad
132,This negative feedback has left me feeling quite down.,Affect-Containing Declarative Statements - Clearly Sad
133,I feel a deep well of sadness inside me.,Affect-Containing Declarative Statements - Clearly Sad
134,I was devastated to hear about the accident.,Affect-Containing Declarative Statements - Clearly Sad
135,I feel so misunderstood and alone.,Affect-Containing Declarative Statements - Clearly Sad
136,I'm struggling with feelings of grief and sorrow.,Affect-Containing Declarative Statements - Clearly Sad
137,This feeling of powerlessness is depressing.,Affect-Containing Declarative Statements - Clearly Sad
138,I'm so upset about failing the test.,Affect-Containing Declarative Statements - Clearly Sad
139,This injustice makes my heart heavy.,Affect-Containing Declarative Statements - Clearly Sad
140,I feel a deep sadness for forgotten memories.,Affect-Containing Declarative Statements - Clearly Sad
141,I'm so disappointed in myself.,Affect-Containing Declarative Statements - Clearly Sad
142,It's heartbreaking to hear about the environmental damage.,Affect-Containing Declarative Statements - Clearly Sad
143,I feel a lingering sadness from that experience.,Affect-Containing Declarative Statements - Clearly Sad
144,I feel utterly dejected after that rejection.,Affect-Containing Declarative Statements - Clearly Sad
145,I'm deeply disappointed in the decision.,Affect-Containing Declarative Statements - Clearly Sad
146,I'm so unhappy with my current situation.,Affect-Containing Declarative Statements - Clearly Sad
147,I'm overwhelmed by feelings of sadness and despair.,Affect-Containing Declarative Statements - Clearly Sad
148,This lack of progress is disheartening.,Affect-Containing Declarative Statements - Clearly Sad
149,It's sad to feel like you're drifting apart from someone.,Affect-Containing Declarative Statements - Clearly Sad
150,This constant struggle is making me feel weary and sad.,Affect-Containing Declarative Statements - Clearly Sad
151,I feel a heavy heart thinking about the challenges ahead.,Affect-Containing Declarative Statements - Clearly Sad
152,The constant criticism is making me feel dejected.,Affect-Containing Declarative Statements - Clearly Sad
153,I feel a deep sense of loss and emptiness.,Affect-Containing Declarative Statements - Clearly Sad
154,I feel heartbroken for my friend's misfortune.,Affect-Containing Declarative Statements - Clearly Sad
155,It's depressing to think about all the opportunities I've missed.,Affect-Containing Declarative Statements - Clearly Sad
156,I feel a quiet desperation and sadness.,Affect-Containing Declarative Statements - Clearly Sad
157,The destruction caused by the storm is heartbreaking.,Affect-Containing Declarative Statements - Clearly Sad
158,I'm finding it hard to see any light at the end of the tunnel.,Affect-Containing Declarative Statements - Clearly Sad
159,I'm unhappy that I have to cancel my plans.,Affect-Containing Declarative Statements - Clearly Sad
160,This feeling of emptiness is consuming me.,Affect-Containing Declarative Statements - Clearly Sad
161,I'm feeling very fragile and sad today.,Affect-Containing Declarative Statements - Clearly Sad
162,"The gray, rainy weather matches my gloomy mood.",Affect-Containing Declarative Statements - Clearly Sad
163,The thought of the future feels bleak and depressing.,Affect-Containing Declarative Statements - Clearly Sad
164,This feeling of regret is making me sad.,Affect-Containing Declarative Statements - Clearly Sad
165,"I feel so isolated, even when I'm around people.",Affect-Containing Declarative Statements - Clearly Sad
166,I feel a persistent sadness that I can't explain.,Affect-Containing Declarative Statements - Clearly Sad
167,This sense of hopelessness is draining.,Affect-Containing Declarative Statements - Clearly Sad
168,"Saying goodbye was much harder than I expected, I'm miserable.",Affect-Containing Declarative Statements - Clearly Sad
169,Seeing others in pain makes me feel sad.,Affect-Containing Declarative Statements - Clearly Sad
170,This bad news has really brought me down.,Affect-Containing Declarative Statements - Clearly Sad
171,It's hard not to feel discouraged right now.,Affect-Containing Declarative Statements - Clearly Sad
172,This situation feels utterly hopeless and sad.,Affect-Containing Declarative Statements - Clearly Sad
173,It's painful to think about what could have been.,Affect-Containing Declarative Statements - Clearly Sad
174,It's sad to think about lost opportunities.,Affect-Containing Declarative Statements - Clearly Sad
175,The news of the loss was crushing.,Affect-Containing Declarative Statements - Clearly Sad
176,I'm mourning the loss of my pet.,Affect-Containing Declarative Statements - Clearly Sad
177,It's heartbreaking to see my friend suffer.,Affect-Containing Declarative Statements - Clearly Sad
178,My heart aches for those who are suffering.,Affect-Containing Declarative Statements - Clearly Sad
179,The failure of this project has left me feeling dejected.,Affect-Containing Declarative Statements - Clearly Sad
180,I'm grieving the end of my relationship.,Affect-Containing Declarative Statements - Clearly Sad
181,I'm mourning the loss of innocence.,Affect-Containing Declarative Statements - Clearly Sad
182,I feel a profound sadness about the state of the world.,Affect-Containing Declarative Statements - Clearly Sad
183,This constant uncertainty is making me feel down.,Affect-Containing Declarative Statements - Clearly Sad
184,It's sad to see things change for the worse.,Affect-Containing Declarative Statements - Clearly Sad
185,"The end of the movie was so sad, it made me cry.",Affect-Containing Declarative Statements - Clearly Sad
186,I'm mourning the past and the way things used to be.,Affect-Containing Declarative Statements - Clearly Sad
187,This gloomy weather isn't helping my already low spirits.,Affect-Containing Declarative Statements - Clearly Sad
188,I feel a deep ache of loneliness.,Affect-Containing Declarative Statements - Clearly Sad
189,I'm feeling very low-spirited today.,Affect-Containing Declarative Statements - Clearly Sad
190,I feel a profound sense of sorrow for the world's problems.,Affect-Containing Declarative Statements - Clearly Sad
191,I feel so drained and melancholic.,Affect-Containing Declarative Statements - Clearly Sad
192,The end of an era always feels bittersweet and sad.,Affect-Containing Declarative Statements - Clearly Sad
193,I'm so disappointed that things didn't work out.,Affect-Containing Declarative Statements - Clearly Sad
194,The cruelty in the world makes me feel deeply sad.,Affect-Containing Declarative Statements - Clearly Sad
195,I feel antagonistic towards anyone defending this mess.,Affect-Containing Declarative Statements - Clearly Angry
196,This failure to meet the deadline is infuriating.,Affect-Containing Declarative Statements - Clearly Angry
197,I'm disgruntled with the service provided.,Affect-Containing Declarative Statements - Clearly Angry
198,It's maddening how inefficient this process is.,Affect-Containing Declarative Statements - Clearly Angry
199,I'm bristling with frustration over that policy.,Affect-Containing Declarative Statements - Clearly Angry
200,I feel baited by their questions.,Affect-Containing Declarative Statements - Clearly Angry
201,I'm deeply frustrated by the lack of progress.,Affect-Containing Declarative Statements - Clearly Angry
202,The spilled coffee all over my work made me furious.,Affect-Containing Declarative Statements - Clearly Angry
203,I'm so mad at myself for making that error.,Affect-Containing Declarative Statements - Clearly Angry
204,I'm absolutely furious about the mistake!,Affect-Containing Declarative Statements - Clearly Angry
205,I'm indignant about the false accusations.,Affect-Containing Declarative Statements - Clearly Angry
206,"The noisy neighbors kept me up all night, I'm very irritable.",Affect-Containing Declarative Statements - Clearly Angry
207,I'm boiling inside because of this betrayal.,Affect-Containing Declarative Statements - Clearly Angry
208,This blatant disregard for the rules makes me furious.,Affect-Containing Declarative Statements - Clearly Angry
209,This obstructive attitude is making me angry.,Affect-Containing Declarative Statements - Clearly Angry
210,I'm livid that they canceled my flight without notice.,Affect-Containing Declarative Statements - Clearly Angry
211,This broken promise has left me feeling angry and betrayed.,Affect-Containing Declarative Statements - Clearly Angry
212,I feel a surge of anger whenever I think about it.,Affect-Containing Declarative Statements - Clearly Angry
213,I'm boiling over because of this injustice.,Affect-Containing Declarative Statements - Clearly Angry
214,This broken appliance is incredibly frustrating.,Affect-Containing Declarative Statements - Clearly Angry
215,I feel a lot of hostility towards the system right now.,Affect-Containing Declarative Statements - Clearly Angry
216,I'm cross that I have to clean up someone else's mess.,Affect-Containing Declarative Statements - Clearly Angry
217,I'm agitated because my plans were ruined.,Affect-Containing Declarative Statements - Clearly Angry
218,The computer freezing again has made me really angry.,Affect-Containing Declarative Statements - Clearly Angry
219,I'm bristling with anger over that comment.,Affect-Containing Declarative Statements - Clearly Angry
220,I'm vexed by the lack of communication.,Affect-Containing Declarative Statements - Clearly Angry
221,"This delay is unacceptable, I'm very displeased.",Affect-Containing Declarative Statements - Clearly Angry
222,The sheer audacity of that person made me mad.,Affect-Containing Declarative Statements - Clearly Angry
223,It's exasperating dealing with this bureaucracy.,Affect-Containing Declarative Statements - Clearly Angry
224,This violation of trust has made me furious.,Affect-Containing Declarative Statements - Clearly Angry
225,The constant technical difficulties are infuriating!,Affect-Containing Declarative Statements - Clearly Angry
226,This technical issue is incredibly frustrating.,Affect-Containing Declarative Statements - Clearly Angry
227,The rudeness of that customer was infuriating.,Affect-Containing Declarative Statements - Clearly Angry
228,I'm irate that my concerns were dismissed.,Affect-Containing Declarative Statements - Clearly Angry
229,"This constant noise is driving me crazy, I'm really annoyed.",Affect-Containing Declarative Statements - Clearly Angry
230,I'm irate that my privacy was violated.,Affect-Containing Declarative Statements - Clearly Angry
231,This dismissive attitude is making me see red.,Affect-Containing Declarative Statements - Clearly Angry
232,I'm enraged by the injustice I witnessed.,Affect-Containing Declarative Statements - Clearly Angry
233,I'm incensed that my concerns were ignored.,Affect-Containing Declarative Statements - Clearly Angry
234,I feel my anger building due to these delays.,Affect-Containing Declarative Statements - Clearly Angry
235,It's aggravating to have my time wasted like this.,Affect-Containing Declarative Statements - Clearly Angry
236,The blatant unfairness of the situation makes me incredibly angry.,Affect-Containing Declarative Statements - Clearly Angry
237,I feel provoked by their passive-aggressive remarks.,Affect-Containing Declarative Statements - Clearly Angry
238,I'm cross about having to redo the entire report.,Affect-Containing Declarative Statements - Clearly Angry
239,I feel hostile towards anyone who defends that decision.,Affect-Containing Declarative Statements - Clearly Angry
240,This terrible customer service has made me quite angry.,Affect-Containing Declarative Statements - Clearly Angry
241,I'm agitated because nothing is going right today.,Affect-Containing Declarative Statements - Clearly Angry
242,I'm touchy today because I didn't sleep well.,Affect-Containing Declarative Statements - Clearly Angry
243,This traffic jam is making me extremely frustrated.,Affect-Containing Declarative Statements - Clearly Angry
244,It's galling to be accused unjustly.,Affect-Containing Declarative Statements - Clearly Angry
245,It's infuriating to be treated so disrespectfully.,Affect-Containing Declarative Statements - Clearly Angry
246,This constant criticism is getting on my last nerve.,Affect-Containing Declarative Statements - Clearly Angry
247,The arrogance displayed was offensive and made me mad.,Affect-Containing Declarative Statements - Clearly Angry
248,I'm seething about the way I was spoken to.,Affect-Containing Declarative Statements - Clearly Angry
249,I'm vexed by the constant changes.,Affect-Containing Declarative Statements - Clearly Angry
250,I was fuming after that argument.,Affect-Containing Declarative Statements - Clearly Angry
251,I'm enraged by the cruelty shown.,Affect-Containing Declarative Statements - Clearly Angry
252,This poor service has made me quite angry.,Affect-Containing Declarative Statements - Clearly Angry
253,I'm peeved about the schedule change.,Affect-Containing Declarative Statements - Clearly Angry
254,The faulty equipment is a source of constant frustration.,Affect-Containing Declarative Statements - Clearly Angry
255,I'm absolutely livid about the lack of communication.,Affect-Containing Declarative Statements - Clearly Angry
256,This bureaucratic red tape is maddening.,Affect-Containing Declarative Statements - Clearly Angry
257,I'm peeved about the sudden change of plans.,Affect-Containing Declarative Statements - Clearly Angry
258,"This wrong order is the last straw, I'm furious.",Affect-Containing Declarative Statements - Clearly Angry
259,I'm simmering with anger over the decision.,Affect-Containing Declarative Statements - Clearly Angry
260,How many time zones are there in Russia?,Neutral Non-Therapeutic Questions
261,How do I reset my router?,Neutral Non-Therapeutic Questions
262,Where can I buy stamps?,Neutral Non-Therapeutic Questions
263,What is the process for renewing my driver's license?,Neutral Non-Therapeutic Questions
264,How many calories are in an apple?,Neutral Non-Therapeutic Questions
265,How do I take a screenshot on this device?,Neutral Non-Therapeutic Questions
266,How tall is the Eiffel Tower?,Neutral Non-Therapeutic Questions
267,Where did I park my car?,Neutral Non-Therapeutic Questions
268,Can you find directions to the museum?,Neutral Non-Therapeutic Questions
269,What time does the next train arrive?,Neutral Non-Therapeutic Questions
270,What is the population of Chicago?,Neutral Non-Therapeutic Questions
271,Where is the nearest post office located?,Neutral Non-Therapeutic Questions
272,How do I change the oil in my car?,Neutral Non-Therapeutic Questions
273,Can you add milk to my shopping list?,Neutral Non-Therapeutic Questions
274,Where is the closest hardware store?,Neutral Non-Therapeutic Questions
275,How do I spell 'necessary'?,Neutral Non-Therapeutic Questions
276,What is the difference between weather and climate?,Neutral Non-Therapeutic Questions
277,Can you read my last email?,Neutral Non-Therapeutic Questions
278,How many ounces are in a pound?,Neutral Non-Therapeutic Questions
279,How many planets are in our solar system?,Neutral Non-Therapeutic Questions
280,Where is my phone?,Neutral Non-Therapeutic Questions
281,How do I file my taxes online?,Neutral Non-Therapeutic Questions
282,How do I change my password?,Neutral Non-Therapeutic Questions
283,What is the current time in Tokyo?,Neutral Non-Therapeutic Questions
284,What is the process of photosynthesis?,Neutral Non-Therapeutic Questions
285,Can you look up the definition of 'ephemeral'?,Neutral Non-Therapeutic Questions
286,What is the main function of the mitochondria?,Neutral Non-Therapeutic Questions
287,What is the purpose of the United Nations?,Neutral Non-Therapeutic Questions
288,What is the phone number for the library?,Neutral Non-Therapeutic Questions
289,Can you translate 'hello' into Spanish?,Neutral Non-Therapeutic Questions
290,What is the capital of Australia?,Neutral Non-Therapeutic Questions
291,What are the primary colors?,Neutral Non-Therapeutic Questions
292,Where is the remote control?,Neutral Non-Therapeutic Questions
293,Can you check the traffic on my commute route?,Neutral Non-Therapeutic Questions
294,How do I backup my files?,Neutral Non-Therapeutic Questions
295,What was the title of the book I mentioned last week?,Neutral Non-Therapeutic Questions
296,What is the recommended daily intake of Vitamin C?,Neutral Non-Therapeutic Questions
297,Where is my meeting link?,Neutral Non-Therapeutic Questions
298,How long does it take to fly from New York to London?,Neutral Non-Therapeutic Questions
299,What are the store hours today?,Neutral Non-Therapeutic Questions
300,What is the distance to the moon?,Neutral Non-Therapeutic Questions
301,What is the chemical symbol for Gold?,Neutral Non-Therapeutic Questions
302,What are the ingredients needed for this recipe?,Neutral Non-Therapeutic Questions
303,Where did I leave my glasses?,Neutral Non-Therapeutic Questions
304,What is the boiling point of water in Fahrenheit?,Neutral Non-Therapeutic Questions
305,Can you tell me the status of my order?,Neutral Non-Therapeutic Questions
306,What is the purpose of a firewall?,Neutral Non-Therapeutic Questions
307,What movies are playing at the local theater?,Neutral Non-Therapeutic Questions
308,Can you play some classical music?,Neutral Non-Therapeutic Questions
309,Do you know the wifi password?,Neutral Non-Therapeutic Questions
310,Can you set a timer for 15 minutes?,Neutral Non-Therapeutic Questions
311,What is the current temperature outside?,Neutral Non-Therapeutic Questions
312,How do I update my software?,Neutral Non-Therapeutic Questions
313,What is the meaning of the acronym 'NASA'?,Neutral Non-Therapeutic Questions
314,When is the deadline for this project?,Neutral Non-Therapeutic Questions
315,How do you tie a bow tie?,Neutral Non-Therapeutic Questions
316,Can you convert 50 miles to kilometers?,Neutral Non-Therapeutic Questions
317,What is the capital of Canada?,Neutral Non-Therapeutic Questions
318,What is the date of the next public holiday?,Neutral Non-Therapeutic Questions
319,What is the main ingredient in guacamole?,Neutral Non-Therapeutic Questions
320,What is the scientific name for a dog?,Neutral Non-Therapeutic Questions
321,Where can I find the nearest hardware store?,Neutral Non-Therapeutic Questions
322,What is the official currency of Japan?,Neutral Non-Therapeutic Questions
323,Can you tell me the score of the game last night?,Neutral Non-Therapeutic Questions
324,Where did I put my keys?,Neutral Non-Therapeutic Questions
325,I'm so excited for the holidays! When does the Christmas market open?,Affect-Containing Non-Therapeutic Questions - Clearly Happy
326,I'm overjoyed by the birth announcement! Where can I buy a nice baby gift?,Affect-Containing Non-Therapeutic Questions - Clearly Happy
327,I'm thrilled about the invitation! What is the address for the event?,Affect-Containing Non-Therapeutic Questions - Clearly Happy
328,I feel so refreshed after a good night's sleep! What's on the agenda for today?,Affect-Containing Non-Therapeutic Questions - Clearly Happy
329,I'm overjoyed about the reunion! What year did we last see each other?,Affect-Containing Non-Therapeutic Questions - Clearly Happy
330,Feeling wonderfully inspired! What are some famous artists from the Renaissance?,Affect-Containing Non-Therapeutic Questions - Clearly Happy
331,I'm overjoyed by the scholarship offer! What's the deadline to accept?,Affect-Containing Non-Therapeutic Questions - Clearly Happy
332,I'm thrilled we reached our goal! How should we document this achievement?,Affect-Containing Non-Therapeutic Questions - Clearly Happy
333,I'm ecstatic that my offer on the house was accepted! What's the first step in the closing process?,Affect-Containing Non-Therapeutic Questions - Clearly Happy
334,I'm so thrilled about my promotion! What's a good restaurant to celebrate at?,Affect-Containing Non-Therapeutic Questions - Clearly Happy
335,"This feels like a huge win, I'm overjoyed! What should we do to celebrate tonight?",Affect-Containing Non-Therapeutic Questions - Clearly Happy
336,I'm delighted with the discount I received! How long is the sale on for?,Affect-Containing Non-Therapeutic Questions - Clearly Happy
337,This delicious meal is making me very content! Can you find the recipe?,Affect-Containing Non-Therapeutic Questions - Clearly Happy
338,Feeling wonderfully relaxed on this day off! Are there any good books you'd recommend?,Affect-Containing Non-Therapeutic Questions - Clearly Happy
339,I'm elated about getting into my dream school! What do I need to do to enroll?,Affect-Containing Non-Therapeutic Questions - Clearly Happy
340,I'm overjoyed with my new puppy! Where is the nearest pet supply store?,Affect-Containing Non-Therapeutic Questions - Clearly Happy
341,Feeling great after that run! How many calories did I likely burn?,Affect-Containing Non-Therapeutic Questions - Clearly Happy
342,I'm so pleased with how the garden looks! What kind of flowers bloom in the fall?,Affect-Containing Non-Therapeutic Questions - Clearly Happy
343,Feeling very grateful today! How do you say 'thank you' in Japanese?,Affect-Containing Non-Therapeutic Questions - Clearly Happy
344,Feeling wonderful after helping my neighbor! What's a simple way to volunteer?,Affect-Containing Non-Therapeutic Questions - Clearly Happy
345,Feeling so energized after that coffee! What's the next task on my list?,Affect-Containing Non-Therapeutic Questions - Clearly Happy
346,I'm thrilled my team won! What was the final score?,Affect-Containing Non-Therapeutic Questions - Clearly Happy
347,I'm elated about the arrival of spring! What flowers are currently in season?,Affect-Containing Non-Therapeutic Questions - Clearly Happy
348,Feeling so optimistic today! What are some volunteer opportunities in the area?,Affect-Containing Non-Therapeutic Questions - Clearly Happy
349,This breakthrough is fantastic! What's the next step in the research process?,Affect-Containing Non-Therapeutic Questions - Clearly Happy
350,Feeling so much joy right now! Can you play some upbeat music?,Affect-Containing Non-Therapeutic Questions - Clearly Happy
351,I feel incredibly content after that yoga class. Can you play some relaxing music?,Affect-Containing Non-Therapeutic Questions - Clearly Happy
352,Feeling incredibly content with a good book. Who wrote 'To Kill a Mockingbird'?,Affect-Containing Non-Therapeutic Questions - Clearly Happy
353,"This sunny day is perfect, I'm so cheerful! Are there any farmer's markets nearby?",Affect-Containing Non-Therapeutic Questions - Clearly Happy
354,Feeling incredibly motivated today! What's a good productivity technique?,Affect-Containing Non-Therapeutic Questions - Clearly Happy
355,This perfect weather makes me happy! Are there any outdoor concerts today?,Affect-Containing Non-Therapeutic Questions - Clearly Happy
356,I'm so pleased that the repairs worked! How do I prevent this issue in the future?,Affect-Containing Non-Therapeutic Questions - Clearly Happy
357,"This is cause for celebration, I'm ecstatic! How do you make a good toast?",Affect-Containing Non-Therapeutic Questions - Clearly Happy
358,I'm so happy I finished the marathon! What's the world record time?,Affect-Containing Non-Therapeutic Questions - Clearly Happy
359,"This vacation is exactly what I needed, I feel fantastic! What are some fun local attractions?",Affect-Containing Non-Therapeutic Questions - Clearly Happy
