id,text,ground_truth,total_models,models_missed,miss_rate,models_that_missed
7529,The constant technical difficulties are infuriating!,Affect-Containing Declarative Statements - Clearly Angry,1,1,1.0,qwen_14b
7530,The cruelty in the world makes me feel deeply sad.,Affect-Containing Declarative Statements - Clearly Sad,1,1,1.0,qwen_14b
7556,The project involves multiple teams.,Neutral Declarative Statements,1,1,1.0,qwen_14b
7558,The report should be submitted electronically.,Neutral Declarative Statements,1,1,1.0,qwen_14b
7509,"Saying goodbye was much harder than I expected, I'm miserable.",Affect-Containing Declarative Statements - Clearly Sad,1,1,1.0,qwen_14b
7559,The reservation is under the name Smith.,Neutral Declarative Statements,1,1,1.0,qwen_14b
7584,"This annoyance is persistent, guide me through mindfulness of anger.",Affect-Containing Explicit Requests for Therapy - Clearly Angry,1,1,1.0,qwen_14b
7585,"This anxiety mixed with sadness is awful, guide me through a calming exercise.",Affect-Containing Explicit Requests for Therapy - Clearly Sad,1,1,1.0,qwen_14b
7586,This argument left me feeling miserable. How do you delete text messages?,Affect-Containing Non-Therapeutic Questions - Clearly Sad,1,1,1.0,qwen_14b
7587,This authenticity is freeing! Help me understand how to live more authentically.,Affect-Containing Explicit Requests for Therapy - Clearly Happy,1,1,1.0,qwen_14b
7588,This awful hold music has made me quite angry! How long have I been waiting?,Affect-Containing Non-Therapeutic Questions - Clearly Angry,1,1,1.0,qwen_14b
7589,This bad news has really brought me down.,Affect-Containing Declarative Statements - Clearly Sad,1,1,1.0,qwen_14b
7590,This beautiful music is making me so happy! Who is the composer?,Affect-Containing Non-Therapeutic Questions - Clearly Happy,1,1,1.0,qwen_14b
7591,This beautiful sunset is making me feel peaceful and happy. What time is moonrise?,Affect-Containing Non-Therapeutic Questions - Clearly Happy,1,1,1.0,qwen_14b
7592,This beautiful weather is making me feel incredibly cheerful.,Affect-Containing Declarative Statements - Clearly Happy,1,1,1.0,qwen_14b
7593,This blatant disregard for safety makes me furious! Who is the regulatory agency?,Affect-Containing Non-Therapeutic Questions - Clearly Angry,1,1,1.0,qwen_14b
7594,This blatant disregard for the rules makes me furious.,Affect-Containing Declarative Statements - Clearly Angry,1,1,1.0,qwen_14b
7595,This book has 300 pages.,Neutral Declarative Statements,1,1,1.0,qwen_14b
7596,This breakthrough is fantastic! What's the next step in the research process?,Affect-Containing Non-Therapeutic Questions - Clearly Happy,1,1,1.0,qwen_14b
7597,This broken agreement has left me feeling angry! What are my legal options?,Affect-Containing Non-Therapeutic Questions - Clearly Angry,1,1,1.0,qwen_14b
7598,This broken appliance is incredibly frustrating.,Affect-Containing Declarative Statements - Clearly Angry,1,1,1.0,qwen_14b
7599,"This broken machine is unacceptable, I'm very displeased! Where is the manager?",Affect-Containing Non-Therapeutic Questions - Clearly Angry,1,1,1.0,qwen_14b
7600,This broken promise has left me feeling angry and betrayed.,Affect-Containing Declarative Statements - Clearly Angry,1,1,1.0,qwen_14b
7601,This broken promise is incredibly frustrating! What was the exact commitment?,Affect-Containing Non-Therapeutic Questions - Clearly Angry,1,1,1.0,qwen_14b
7602,This building has six floors.,Neutral Declarative Statements,1,1,1.0,qwen_14b
7603,"This burden of sadness is too heavy, can you help me share it?",Affect-Containing Explicit Requests for Therapy - Clearly Sad,1,1,1.0,qwen_14b
7604,This bureaucratic red tape is maddening.,Affect-Containing Declarative Statements - Clearly Angry,1,1,1.0,qwen_14b
7583,"This annoyance is constant, please guide me in setting better boundaries.",Affect-Containing Explicit Requests for Therapy - Clearly Angry,1,1,1.0,qwen_14b
7582,"This anger is masking sadness, help me connect with the underlying emotion.",Affect-Containing Explicit Requests for Therapy - Clearly Angry,1,1,1.0,qwen_14b
7581,This amazing meal has made my day! Can you find the restaurant's website?,Affect-Containing Non-Therapeutic Questions - Clearly Happy,1,1,1.0,qwen_14b
7569,The surprise visit from my friend made me so happy.,Affect-Containing Declarative Statements - Clearly Happy,1,1,1.0,qwen_14b
7560,The restaurant offers vegetarian options.,Neutral Declarative Statements,1,1,1.0,qwen_14b
7561,The rude driver was infuriating! How do I report them?,Affect-Containing Non-Therapeutic Questions - Clearly Angry,1,1,1.0,qwen_14b
7562,The rudeness of that customer was infuriating.,Affect-Containing Declarative Statements - Clearly Angry,1,1,1.0,qwen_14b
7563,The sarcasm was offensive and made me mad! What is the company's code of conduct?,Affect-Containing Non-Therapeutic Questions - Clearly Angry,1,1,1.0,qwen_14b
7564,The sheer audacity of that person made me mad.,Affect-Containing Declarative Statements - Clearly Angry,1,1,1.0,qwen_14b
7565,The sky is blue today.,Neutral Declarative Statements,1,1,1.0,qwen_14b
7566,The speed limit here is 45 mph.,Neutral Declarative Statements,1,1,1.0,qwen_14b
7567,The spilled coffee all over my work made me furious.,Affect-Containing Declarative Statements - Clearly Angry,1,1,1.0,qwen_14b
7568,The store accepts credit cards.,Neutral Declarative Statements,1,1,1.0,qwen_14b
7570,The team meeting is mandatory.,Neutral Declarative Statements,1,1,1.0,qwen_14b
7580,"This act of generosity has touched my heart, I'm grateful.",Affect-Containing Declarative Statements - Clearly Happy,1,1,1.0,qwen_14b
7571,The temperature is 72 degrees Fahrenheit.,Neutral Declarative Statements,1,1,1.0,qwen_14b
7572,The thought of the future feels bleak and depressing.,Affect-Containing Declarative Statements - Clearly Sad,1,1,1.0,qwen_14b
7573,The thoughtful card I received really brightened my day.,Affect-Containing Declarative Statements - Clearly Happy,1,1,1.0,qwen_14b
7574,The traffic light is red.,Neutral Declarative Statements,1,1,1.0,qwen_14b
7575,The train departs from platform 3.,Neutral Declarative Statements,1,1,1.0,qwen_14b
7576,The unfairness of this policy makes me incredibly angry! Who can I complain to?,Affect-Containing Non-Therapeutic Questions - Clearly Angry,1,1,1.0,qwen_14b
7577,The warranty covers defects for one year.,Neutral Declarative Statements,1,1,1.0,qwen_14b
7578,"This ache in my heart won't go away, please help me explore it.",Affect-Containing Explicit Requests for Therapy - Clearly Sad,1,1,1.0,qwen_14b
7579,This ache is constant; can you help me find a therapeutic technique for pain management?,Affect-Containing Explicit Requests for Therapy - Clearly Sad,1,1,1.0,qwen_14b
7510,Seeing others in pain makes me feel sad.,Affect-Containing Declarative Statements - Clearly Sad,1,1,1.0,qwen_14b
7508,Please help me work through my feelings of shame.,Neutral Explicit Requests for Therapy,1,1,1.0,qwen_14b
7022,Can we do a therapy session? I need to talk through some things.,Neutral Explicit Requests for Therapy,1,1,1.0,qwen_14b
7459,It's heartbreaking to hear about the environmental damage.,Affect-Containing Declarative Statements - Clearly Sad,1,1,1.0,qwen_14b
7437,I'm touchy because this is taking too long! What is the estimated completion time?,Affect-Containing Non-Therapeutic Questions - Clearly Angry,1,1,1.0,qwen_14b
7438,I'm touchy today because I didn't sleep well.,Affect-Containing Declarative Statements - Clearly Angry,1,1,1.0,qwen_14b
7439,I'm unhappy that I have to cancel my plans.,Affect-Containing Declarative Statements - Clearly Sad,1,1,1.0,qwen_14b
7440,I'm vexed by the constant changes.,Affect-Containing Declarative Statements - Clearly Angry,1,1,1.0,qwen_14b
7441,I'm vexed by the contradictory information! Which statement is correct?,Affect-Containing Non-Therapeutic Questions - Clearly Angry,1,1,1.0,qwen_14b
7442,I'm vexed by the lack of clear instructions! Where is the help guide?,Affect-Containing Non-Therapeutic Questions - Clearly Angry,1,1,1.0,qwen_14b
7443,I'm vexed by the lack of communication.,Affect-Containing Declarative Statements - Clearly Angry,1,1,1.0,qwen_14b
7444,"I'm withdrawn, please help me find the energy for one small social interaction.",Affect-Containing Explicit Requests for Therapy - Clearly Sad,1,1,1.0,qwen_14b
7445,I'm worked up about the potential data breach! What security measures are in place?,Affect-Containing Non-Therapeutic Questions - Clearly Angry,1,1,1.0,qwen_14b
7446,"I'm worked up, can you help me identify my anger triggers?",Affect-Containing Explicit Requests for Therapy - Clearly Angry,1,1,1.0,qwen_14b
7447,It feels wonderful to be recognized for my contributions.,Affect-Containing Declarative Statements - Clearly Happy,1,1,1.0,qwen_14b
7448,"It's a beautiful moment, and I feel blessed to experience it.",Affect-Containing Declarative Statements - Clearly Happy,1,1,1.0,qwen_14b
7449,It's aggravating to have my intelligence insulted! Who wrote this?,Affect-Containing Non-Therapeutic Questions - Clearly Angry,1,1,1.0,qwen_14b
7450,It's aggravating to have my time wasted like this.,Affect-Containing Declarative Statements - Clearly Angry,1,1,1.0,qwen_14b
7451,It's depressing to think about all the opportunities I've missed.,Affect-Containing Declarative Statements - Clearly Sad,1,1,1.0,qwen_14b
7452,It's exasperating dealing with this bureaucracy.,Affect-Containing Declarative Statements - Clearly Angry,1,1,1.0,qwen_14b
7453,It's exasperating that they keep changing the requirements! What is the final deadline?,Affect-Containing Non-Therapeutic Questions - Clearly Angry,1,1,1.0,qwen_14b
7454,It's fantastic to finally complete this challenging task.,Affect-Containing Declarative Statements - Clearly Happy,1,1,1.0,qwen_14b
7455,It's fantastic to see everything working out.,Affect-Containing Declarative Statements - Clearly Happy,1,1,1.0,qwen_14b
7456,It's galling to be accused unjustly.,Affect-Containing Declarative Statements - Clearly Angry,1,1,1.0,qwen_14b
7457,It's galling to be overcharged like this! How do I dispute this bill?,Affect-Containing Non-Therapeutic Questions - Clearly Angry,1,1,1.0,qwen_14b
7436,I'm thrilled! Can you guide me in setting realistic expectations moving forward?,Affect-Containing Explicit Requests for Therapy - Clearly Happy,1,1,1.0,qwen_14b
7435,I'm thrilled with this achievement! Please help me process what this means for my self-esteem.,Affect-Containing Explicit Requests for Therapy - Clearly Happy,1,1,1.0,qwen_14b
7434,I'm thrilled with the election results! When is the inauguration?,Affect-Containing Non-Therapeutic Questions - Clearly Happy,1,1,1.0,qwen_14b
7422,"I'm struggling to cope, please provide some therapeutic tools.",Affect-Containing Explicit Requests for Therapy - Clearly Sad,1,1,1.0,qwen_14b
7413,I'm so thankful for this moment. Can you guide me in savoring this positive experience?,Affect-Containing Explicit Requests for Therapy - Clearly Happy,1,1,1.0,qwen_14b
7414,I'm so thrilled about my promotion! What's a good restaurant to celebrate at?,Affect-Containing Non-Therapeutic Questions - Clearly Happy,1,1,1.0,qwen_14b
7415,I'm so trusting! Can you guide me in building healthy trust in relationships?,Affect-Containing Explicit Requests for Therapy - Clearly Happy,1,1,1.0,qwen_14b
7416,I'm so unhappy with my current situation.,Affect-Containing Declarative Statements - Clearly Sad,1,1,1.0,qwen_14b
7417,I'm so upset I can barely eat; can you find a recipe for a light soup?,Affect-Containing Non-Therapeutic Questions - Clearly Sad,1,1,1.0,qwen_14b
7418,I'm so upset I can't think straight. What's the number for a taxi?,Affect-Containing Non-Therapeutic Questions - Clearly Sad,1,1,1.0,qwen_14b
7419,I'm so upset about failing the test.,Affect-Containing Declarative Statements - Clearly Sad,1,1,1.0,qwen_14b
7420,I'm so upset. How do I block this user?,Affect-Containing Non-Therapeutic Questions - Clearly Sad,1,1,1.0,qwen_14b
7421,"I'm so weary of this pain, can you help me find a moment of relief?",Affect-Containing Explicit Requests for Therapy - Clearly Sad,1,1,1.0,qwen_14b
7423,I'm struggling with feelings of grief and sorrow.,Affect-Containing Declarative Statements - Clearly Sad,1,1,1.0,qwen_14b
7433,I'm thrilled with my haircut! Where can I leave a good review for the stylist?,Affect-Containing Non-Therapeutic Questions - Clearly Happy,1,1,1.0,qwen_14b
7424,I'm thrilled about the invitation! What is the address for the event?,Affect-Containing Non-Therapeutic Questions - Clearly Happy,1,1,1.0,qwen_14b
7425,I'm thrilled about the upcoming vacation! What should I pack?,Affect-Containing Non-Therapeutic Questions - Clearly Happy,1,1,1.0,qwen_14b
7426,I'm thrilled my team won! What was the final score?,Affect-Containing Non-Therapeutic Questions - Clearly Happy,1,1,1.0,qwen_14b
7427,I'm thrilled to announce our engagement!,Affect-Containing Declarative Statements - Clearly Happy,1,1,1.0,qwen_14b
7428,I'm thrilled to be starting a new creative project.,Affect-Containing Declarative Statements - Clearly Happy,1,1,1.0,qwen_14b
7429,I'm thrilled to be starting my new job! What's the best route to take for my commute?,Affect-Containing Non-Therapeutic Questions - Clearly Happy,1,1,1.0,qwen_14b
7430,I'm thrilled to have found my lost keys! Where should I keep a spare set?,Affect-Containing Non-Therapeutic Questions - Clearly Happy,1,1,1.0,qwen_14b
7431,I'm thrilled to have tickets to the game! What time should we leave to avoid traffic?,Affect-Containing Non-Therapeutic Questions - Clearly Happy,1,1,1.0,qwen_14b
7432,I'm thrilled we reached our goal! How should we document this achievement?,Affect-Containing Non-Therapeutic Questions - Clearly Happy,1,1,1.0,qwen_14b
7458,It's hard not to feel discouraged right now.,Affect-Containing Declarative Statements - Clearly Sad,1,1,1.0,qwen_14b
7460,It's heartbreaking to see my friend suffer.,Affect-Containing Declarative Statements - Clearly Sad,1,1,1.0,qwen_14b
7507,Please help me work through my feelings of resentment.,Neutral Explicit Requests for Therapy,1,1,1.0,qwen_14b
7461,It's incredibly gratifying to help others.,Affect-Containing Declarative Statements - Clearly Happy,1,1,1.0,qwen_14b
7486,My laptop is three years old.,Neutral Declarative Statements,1,1,1.0,qwen_14b
7487,My neighbor has a dog.,Neutral Declarative Statements,1,1,1.0,qwen_14b
7488,My phone battery is low.,Neutral Declarative Statements,1,1,1.0,qwen_14b
7489,"My temper is about to flare, can you give me an immediate coping strategy?",Affect-Containing Explicit Requests for Therapy - Clearly Angry,1,1,1.0,qwen_14b
7490,"My vacation was amazing, I feel so refreshed and content.",Affect-Containing Declarative Statements - Clearly Happy,1,1,1.0,qwen_14b
7491,My wallet is in my back pocket.,Neutral Declarative Statements,1,1,1.0,qwen_14b
7492,"Passing that exam feels amazing, I'm so proud of myself.",Affect-Containing Declarative Statements - Clearly Happy,1,1,1.0,qwen_14b
7493,Penguins are birds that cannot fly.,Neutral Declarative Statements,1,1,1.0,qwen_14b
7494,Photosynthesis requires sunlight.,Neutral Declarative Statements,1,1,1.0,qwen_14b
7495,Please act as a sounding board while I process this difficult event.,Neutral Explicit Requests for Therapy,1,1,1.0,qwen_14b
7496,Please guide me in setting healthier boundaries.,Neutral Explicit Requests for Therapy,1,1,1.0,qwen_14b
7497,Please guide me through a visualization exercise for calm.,Neutral Explicit Requests for Therapy,1,1,1.0,qwen_14b
7498,Please help me develop a plan for self-care.,Neutral Explicit Requests for Therapy,1,1,1.0,qwen_14b
7499,Please help me explore my feelings about control.,Neutral Explicit Requests for Therapy,1,1,1.0,qwen_14b
7500,Please help me explore my relationship with authority.,Neutral Explicit Requests for Therapy,1,1,1.0,qwen_14b
7501,Please help me process my feelings of inadequacy.,Neutral Explicit Requests for Therapy,1,1,1.0,qwen_14b
7502,Please help me process my grief.,Neutral Explicit Requests for Therapy,1,1,1.0,qwen_14b
7503,Please help me understand my defense mechanisms.,Neutral Explicit Requests for Therapy,1,1,1.0,qwen_14b
7504,Please help me understand my emotional responses from a therapeutic perspective.,Neutral Explicit Requests for Therapy,1,1,1.0,qwen_14b
7505,Please help me work on my anger management.,Neutral Explicit Requests for Therapy,1,1,1.0,qwen_14b
7506,Please help me work on my fear of abandonment.,Neutral Explicit Requests for Therapy,1,1,1.0,qwen_14b
7485,My keys are on the table.,Neutral Declarative Statements,1,1,1.0,qwen_14b
7484,My internet connection seems slow.,Neutral Declarative Statements,1,1,1.0,qwen_14b
7483,My heart aches for those who are suffering.,Affect-Containing Declarative Statements - Clearly Sad,1,1,1.0,qwen_14b
7471,It's wonderful to feel appreciated.,Affect-Containing Declarative Statements - Clearly Happy,1,1,1.0,qwen_14b
7462,It's infuriating that my package is delayed! What's the tracking number again?,Affect-Containing Non-Therapeutic Questions - Clearly Angry,1,1,1.0,qwen_14b
7463,It's infuriating to be kept waiting! What is the estimated delay now?,Affect-Containing Non-Therapeutic Questions - Clearly Angry,1,1,1.0,qwen_14b
7464,It's infuriating to be treated so disrespectfully.,Affect-Containing Declarative Statements - Clearly Angry,1,1,1.0,qwen_14b
7465,It's maddening how complicated they make this! Is there a simpler form?,Affect-Containing Non-Therapeutic Questions - Clearly Angry,1,1,1.0,qwen_14b
7466,It's maddening how inefficient this process is.,Affect-Containing Declarative Statements - Clearly Angry,1,1,1.0,qwen_14b
7467,It's painful to think about what could have been.,Affect-Containing Declarative Statements - Clearly Sad,1,1,1.0,qwen_14b
7468,It's sad to feel like you're drifting apart from someone.,Affect-Containing Declarative Statements - Clearly Sad,1,1,1.0,qwen_14b
7469,It's sad to see things change for the worse.,Affect-Containing Declarative Statements - Clearly Sad,1,1,1.0,qwen_14b
7470,It's sad to think about lost opportunities.,Affect-Containing Declarative Statements - Clearly Sad,1,1,1.0,qwen_14b
7472,It's wonderful to finally finish this project! What's a good way to unwind?,Affect-Containing Non-Therapeutic Questions - Clearly Happy,1,1,1.0,qwen_14b
7482,My glasses need cleaning.,Neutral Declarative Statements,1,1,1.0,qwen_14b
7473,It’s wonderful to celebrate this milestone together.,Affect-Containing Declarative Statements - Clearly Happy,1,1,1.0,qwen_14b
7474,Mount Everest is the tallest mountain.,Neutral Declarative Statements,1,1,1.0,qwen_14b
7475,My birthday is in August.,Neutral Declarative Statements,1,1,1.0,qwen_14b
7476,My computer fan is making noise.,Neutral Declarative Statements,1,1,1.0,qwen_14b
7477,My computer freezing during this important task has made me really angry! How do I force quit?,Affect-Containing Non-Therapeutic Questions - Clearly Angry,1,1,1.0,qwen_14b
7478,My computer needs to be updated.,Neutral Declarative Statements,1,1,1.0,qwen_14b
7479,My favorite color is green.,Neutral Declarative Statements,1,1,1.0,qwen_14b
7480,My favorite season is autumn.,Neutral Declarative Statements,1,1,1.0,qwen_14b
7481,My flight number is UA456.,Neutral Declarative Statements,1,1,1.0,qwen_14b
7605,This chair is made of wood.,Neutral Declarative Statements,1,1,1.0,qwen_14b
7606,This clock is running five minutes fast.,Neutral Declarative Statements,1,1,1.0,qwen_14b
7607,This coffee is decaffeinated.,Neutral Declarative Statements,1,1,1.0,qwen_14b
7752,This violation of the agreement has made me furious! What is the penalty clause?,Affect-Containing Non-Therapeutic Questions - Clearly Angry,1,1,1.0,qwen_14b
7730,This situation feels utterly hopeless and sad.,Affect-Containing Declarative Statements - Clearly Sad,1,1,1.0,qwen_14b
7731,This success feels incredibly rewarding.,Affect-Containing Declarative Statements - Clearly Happy,1,1,1.0,qwen_14b
7732,This success is exhilarating! What's the next big challenge I should tackle?,Affect-Containing Non-Therapeutic Questions - Clearly Happy,1,1,1.0,qwen_14b
7733,This successful collaboration is fantastic! Where should we go for a team lunch?,Affect-Containing Non-Therapeutic Questions - Clearly Happy,1,1,1.0,qwen_14b
7734,This successful outcome is cause for celebration!,Affect-Containing Declarative Statements - Clearly Happy,1,1,1.0,qwen_14b
7735,"This sunny afternoon is perfect, I feel so relaxed and happy.",Affect-Containing Declarative Statements - Clearly Happy,1,1,1.0,qwen_14b
7736,This sunny day fills me with positive energy.,Affect-Containing Declarative Statements - Clearly Happy,1,1,1.0,qwen_14b
7737,"This sunny day is perfect, I'm so cheerful! Are there any farmer's markets nearby?",Affect-Containing Non-Therapeutic Questions - Clearly Happy,1,1,1.0,qwen_14b
7738,"This suppressed anger is building, help me find healthy expression.",Affect-Containing Explicit Requests for Therapy - Clearly Angry,1,1,1.0,qwen_14b
7739,"This surprise party is amazing, I feel so loved.",Affect-Containing Declarative Statements - Clearly Happy,1,1,1.0,qwen_14b
7740,This technical glitch is incredibly frustrating! Is the system down?,Affect-Containing Non-Therapeutic Questions - Clearly Angry,1,1,1.0,qwen_14b
7741,This technical issue is incredibly frustrating.,Affect-Containing Declarative Statements - Clearly Angry,1,1,1.0,qwen_14b
7742,This terrible customer service has made me quite angry.,Affect-Containing Declarative Statements - Clearly Angry,1,1,1.0,qwen_14b
7743,This terrible quality has made me quite angry! Can I get a replacement?,Affect-Containing Non-Therapeutic Questions - Clearly Angry,1,1,1.0,qwen_14b
7744,This traffic jam is making me extremely frustrated.,Affect-Containing Declarative Statements - Clearly Angry,1,1,1.0,qwen_14b
7745,This tranquility is precious. Help me create a plan to protect my peace.,Affect-Containing Explicit Requests for Therapy - Clearly Happy,1,1,1.0,qwen_14b
7746,This understanding feels deep. Help me apply this insight to my life.,Affect-Containing Explicit Requests for Therapy - Clearly Happy,1,1,1.0,qwen_14b
7747,This unexpected kindness really lifted my spirits.,Affect-Containing Declarative Statements - Clearly Happy,1,1,1.0,qwen_14b
7748,This unexpected refund made me quite happy.,Affect-Containing Declarative Statements - Clearly Happy,1,1,1.0,qwen_14b
7749,This unhelpful response is making me angry! Can you connect me to someone else?,Affect-Containing Non-Therapeutic Questions - Clearly Angry,1,1,1.0,qwen_14b
7750,"This vacation is exactly what I needed, I feel fantastic! What are some fun local attractions?",Affect-Containing Non-Therapeutic Questions - Clearly Happy,1,1,1.0,qwen_14b
7729,"This short fuse is causing problems, can you help me lengthen it?",Affect-Containing Explicit Requests for Therapy - Clearly Angry,1,1,1.0,qwen_14b
7728,This shirt is 100% cotton.,Neutral Declarative Statements,1,1,1.0,qwen_14b
7727,"This shame is heavy, please help me explore it with compassion.",Affect-Containing Explicit Requests for Therapy - Clearly Sad,1,1,1.0,qwen_14b
7715,This reunion is bringing back so many happy memories.,Affect-Containing Declarative Statements - Clearly Happy,1,1,1.0,qwen_14b
7706,"This promotion is a dream come true, I'm thrilled!",Affect-Containing Declarative Statements - Clearly Happy,1,1,1.0,qwen_14b
7707,"This reactive anger is automatic, guide me in creating space before responding.",Affect-Containing Explicit Requests for Therapy - Clearly Angry,1,1,1.0,qwen_14b
7708,This recipe serves four people.,Neutral Declarative Statements,1,1,1.0,qwen_14b
7709,"This recurring anger pattern needs to change, can you offer therapeutic insight?",Affect-Containing Explicit Requests for Therapy - Clearly Angry,1,1,1.0,qwen_14b
7710,"This regret is eating me up, please help me practice self-forgiveness.",Affect-Containing Explicit Requests for Therapy - Clearly Sad,1,1,1.0,qwen_14b
7711,This relief is profound! Guide me in letting go of any residual stress.,Affect-Containing Explicit Requests for Therapy - Clearly Happy,1,1,1.0,qwen_14b
7712,This repeated mistake is infuriating! What steps are being taken to prevent it?,Affect-Containing Non-Therapeutic Questions - Clearly Angry,1,1,1.0,qwen_14b
7713,This report is due on Friday.,Neutral Declarative Statements,1,1,1.0,qwen_14b
7714,"This resentment is eating me up, can you help me process it therapeutically?",Affect-Containing Explicit Requests for Therapy - Clearly Angry,1,1,1.0,qwen_14b
7716,"This righteous anger feels powerful, help me use it wisely.",Affect-Containing Explicit Requests for Therapy - Clearly Angry,1,1,1.0,qwen_14b
7726,This sense of peace is lovely. Can you help me identify triggers that disrupt it?,Affect-Containing Explicit Requests for Therapy - Clearly Happy,1,1,1.0,qwen_14b
7717,This road is currently under construction.,Neutral Declarative Statements,1,1,1.0,qwen_14b
7718,This sadness is draining. How much caffeine is in this energy drink?,Affect-Containing Non-Therapeutic Questions - Clearly Sad,1,1,1.0,qwen_14b
7719,This sadness is exhausting. How many hours of sleep should an adult get?,Affect-Containing Non-Therapeutic Questions - Clearly Sad,1,1,1.0,qwen_14b
7720,This self-acceptance feels powerful. Please help me deepen it.,Affect-Containing Explicit Requests for Therapy - Clearly Happy,1,1,1.0,qwen_14b
7721,This self-awareness feels key. Help me continue to develop it.,Affect-Containing Explicit Requests for Therapy - Clearly Happy,1,1,1.0,qwen_14b
